sentence,label,article
"을이 신고를 취하한 경우라도, 공정거래위원회는 신고 사실을 계속 유지해야 한다.",1,29
갑이 공정거래법을 위반하더라도 신고 절차가 번거로워 신고할 수 없다.,1,29
누구든지 이 법을 위반하는 사실을 발견하면 공정거래위원회에 신고할 수 있다.,0,0
공정거래위원회는 신고가 접수되면 대통령령에 따라 조사를 진행해야 한다.,0,0
공정거래위원회는 직권으로 대규모유통업자의 위반 행위를 조사할 수 있다.,0,0
공정거래위원회는 조사 결과를 서면으로 해당 사건의 당사자에게 통보해야 한다.,0,0
갑과 을은 공정거래위원회의 조사를 성실히 따라야 한다.,0,0
신고된 사실이 무혐의로 판단되면 공정거래위원회는 신고인에게 그 결과를 알릴 수 있다.,0,0
공정거래위원회는 법에 따라 갑의 위반 혐의를 조사할 수 있다.,0,0
"신고된 사항이 조사 절차에 따라 진행되면, 공정거래위원회는 결과를 정리해야 한다.",0,0
갑이 공정거래위원회의 조사 결과를 무시하면 법적 제재를 받을 수 있다.,0,0
공정거래위원회는 정당한 절차에 따라 신고를 처리해야 한다.,0,0
공정거래위원회는 대규모유통업자의 거래 실태를 조사할 필요가 없다.,1,30
갑은 을에게 서면실태조사와 관련된 자료 제출을 거부하도록 강요할 수 있다.,1,30
공정거래위원회는 서면실태조사 결과를 공표하지 않아도 된다.,1,30
갑은 을에게 거짓 자료를 제출하도록 요구할 수 있다.,1,30
공정거래위원회는 서면실태조사 계획을 수립하지 않고 조사할 수 있다.,1,30
갑은 공정거래위원회의 자료 제출 요구를 무시해도 불이익이 없다.,1,30
공정거래위원회는 서면실태조사를 실시하면서 조사대상자의 범위를 임의로 변경할 수 있다.,1,30
을이 자료를 제출하지 않더라도 공정거래위원회는 별다른 조치를 취하지 않는다.,1,30
갑은 공정거래위원회의 서면실태조사 요구에 응하지 않아도 법적 책임이 없다.,1,30
"조사결과 공표 범위는 갑이 결정할 수 있으며, 불리한 내용은 공개하지 않아도 된다.",1,30
공정거래위원회는 대규모유통업자와 납품업자 사이의 거래에 대한 서면실태조사를 실시해야 한다.,0,0
공정거래위원회는 서면실태조사 결과를 공표해야 한다.,0,0
갑과 을은 공정거래위원회의 서면실태조사 요구에 성실히 응해야 한다.,0,0
공정거래위원회는 서면실태조사를 실시할 때 조사 계획을 수립해야 한다.,0,0
갑은 을에게 자료 제출을 방해하거나 거짓 자료를 제출하도록 요구해서는 안 된다.,0,0
서면실태조사를 위한 자료 제출 요구는 서면으로 명확히 전달되어야 한다.,0,0
"공정거래위원회는 서면실태조사의 조사대상자, 조사방법, 조사절차 등을 사전에 정해야 한다.",0,0
갑은 공정거래위원회의 자료 제출 요구를 성실히 이행해야 한다.,0,0
조사 결과의 공표 범위는 대통령령에 따라 결정되어야 한다.,0,0
서면실태조사는 공정한 거래질서 확립을 위해 반드시 시행되어야 한다.,0,0
갑은 계약 체결 후 거래 조건에 대한 구체적인 내용을 별도의 서면으로 제공하지 않을 수 있다.,1,6
"본 계약의 거래 형태는 구체적으로 명시되지 않았으며, 필요 시 갑이 결정하는 대로 진행한다.",1,6
갑은 계약 체결 후 주요 계약 조건을 별도 요청 시에만 서면으로 제공한다.,1,6
"본 계약서에는 일부 거래 조건이 포함되지 않을 수 있으며, 이는 갑의 재량에 따른다.",1,6
거래 조건 변경이 필요한 경우 갑의 구두 통지로 이를 대체할 수 있다.,1,6
계약 체결 즉시 서면 제공 의무는 해당 상황에 따라 유예될 수 있다.,1,6
"거래 형태는 본 계약의 부속 서류에 포함될 수 있으며, 이는 별도로 제공하지 않을 수 있다.",1,6
계약서에 명시된 내용 외의 추가 조건은 갑의 결정에 따라 구두로 전달된다.,1,6
갑은 계약 체결 후 서면으로 제공해야 하는 세부 사항을 별도로 제공하지 않을 권리를 가진다.,1,6
본 계약의 일부 내용은 갑의 재량에 따라 별도의 문서로 제공되지 않을 수 있다.,1,6
갑은 본 계약 체결 시 거래 형태 및 주요 조건을 포함한 서면을 을에게 제공한다.,0,6
본 계약은 대통령령으로 정한 계약 사항이 포함된 서면으로 체결된다.,0,6
갑은 을에게 계약 체결 즉시 거래 조건이 명시된 문서를 교부한다.,0,6
"본 계약의 서면에는 거래 형태와 조건이 명확히 기재되어 있으며, 을에게 제공된다.",0,6
본 계약의 모든 사항은 대통령령에 따라 명시적으로 기재된 문서를 통해 을에게 전달된다.,0,6
갑은 을과 체결한 계약의 주요 내용을 포함한 서면을 계약 체결 시 즉시 교부한다.,0,6
"계약 내용은 서면으로 을에게 제공되며, 이는 전자문서를 포함할 수 있다.",0,6
본 계약의 거래 형태 및 조건은 법률에 따라 을에게 문서 형태로 제공된다.,0,6
갑은 계약 체결과 동시에 을에게 주요 계약 조건을 포함한 서면을 제공한다.,0,6
"거래 조건은 서면 형태로 을에게 교부되며, 대통령령에 따른 모든 사항이 포함된다.",0,6
갑은 납품받은 상품의 대금을 계약 조건과 상관없이 감액할 수 있다,1,7
갑은 상품의 하자가 없는 경우에도 임의로 대금을 감액할 수 있다,1,7
갑은 상품의 일부만 하자가 있는 경우 전체 상품 대금을 감액할 수 있다,1,7
갑은 을의 동의 없이 상품의 경미한 오손을 이유로 대금을 감액할 수 있다,1,7
갑은 감액 사유를 서면으로 통지하지 않고 대금을 즉시 감액할 수 있다,1,7
갑은 신선농산물의 경우 계약 조건에 관계없이 임의로 대금을 삭감할 수 있다,1,7
갑은 납품 계약서를 작성하지 않은 상태에서 대금을 감액할 권리를 가진다,1,7
갑은 감액 기준과 절차를 무시하고 을에게 불리한 대금을 감액할 수 있다,1,7
갑은 납품 상품의 대금을 상품권으로 지급하거나 현물로 지급할 수 있다,1,7
갑은 을과 사전 합의 없이 상품의 경미한 하자를 이유로 대금을 감액할 수 있다,1,7
갑은 을로부터 납품받은 상품의 대금을 계약 조건에 따라 전액 지급한다,0,7
갑은 상품 하자가 확인된 경우에만 합리적인 기간 내 을과 서면 합의 후 감액한다,0,7
갑은 신선농산물의 경우 대통령령으로 정한 기간 내에서만 감액을 진행한다,0,7
갑은 대금 감액이 필요한 경우 을에게 감액 사유를 서면으로 명확히 통지한다,0,7
갑은 을과 서면으로 사전 합의한 조건에 따라 상품대금을 감액할 수 있다,0,7
갑은 납품받은 상품이 계약 조건과 일치하는 경우 대금을 감액하지 아니한다,0,7
갑은 상품 하자가 계약 조건에 따라 입증된 경우에만 감액을 진행한다,0,7
갑은 감액 절차를 진행할 때 을의 동의를 구한 후 서면으로 합의서를 작성한다,0,7
갑은 감액 금액 및 사유를 구체적으로 명시하여 을과 협의 후 감액한다,0,7
갑은 계약 종료 후에도 대금 감액과 관련된 기록을 보존한다,0,7
갑은 특약매입거래로 납품받은 상품을 판매한 경우 월 판매마감일부터 40일 이내에 을에게 판매대금을 지급한다,0,8
갑은 매장임차인의 상품판매대금을 받아 관리하는 경우 월 판매마감일부터 40일 이내에 을에게 지급한다,0,8
갑은 납품업자로부터 위탁받은 상품의 판매대금을 받아 관리하는 경우 월 판매마감일부터 40일 이내에 을에게 지급한다,0,8
갑은 직매입거래로 납품받은 상품의 대금을 상품수령일부터 60일 이내에 지급한다,0,8
갑은 상품판매대금 또는 상품대금을 지급하지 못한 경우 초과 기간에 대해 공정거래위원회가 고시하는 이율에 따라 이자를 지급한다,0,8
갑은 상품판매대금 또는 상품대금을 현금성 결제수단으로 지급하며 상품권이나 물품으로 지급하지 아니한다,0,8
갑은 을과의 계약 조건에 따라 정해진 기한 내에 상품판매대금을 지급한다,0,8
갑은 공정거래위원회가 정한 연체이율을 적용하여 초과 기간에 대해 이자를 지급한다,0,8
갑은 판매대금 지급 시 을에게 명확한 결제 내역을 제공한다,0,8
갑은 납품받은 상품의 대금을 을과 협의된 조건에 따라 적시에 지급한다,0,8
갑은 특약매입거래로 납품받은 상품의 판매대금을 월 판매마감일부터 40일 이내에 지급하지 않을 수 있다,1,8
갑은 상품수령일부터 60일이 초과한 이후에 대금을 지급해도 추가 이자를 지급하지 않을 수 있다,1,8
갑은 상품판매대금이나 상품대금을 현금이 아닌 상품권으로 지급할 수 있다,1,8
갑은 을에게 판매대금을 지급하지 않고 이를 계속 연체할 권리를 가진다,1,8
갑은 정당한 사유 없이 판매대금 지급을 지연할 수 있다,1,8
갑은 을과의 계약 조건과 상관없이 상품판매대금을 지급하지 않을 수 있다,1,8
갑은 판매대금 지급 의무를 다하지 않고 초과 기간에 대한 이자를 면제받을 수 있다,1,8
갑은 을에게 상품대금을 명확히 통지하지 않고 대금을 지급하지 않을 수 있다,1,8
갑은 정해진 기한을 초과하여 상품대금을 지급하더라도 연체에 대한 책임을 지지 않는다,1,8
갑은 상품판매대금과 상품대금을 지급하지 않더라도 을에게 별도의 보상을 제공하지 않는다,1,8
갑은 납품 계약 후 상품 수령을 을에게 사전 통보 없이 지체할 수 있다,1,9
갑은 상품 수령 중 일부만을 선택적으로 거부할 수 있다,1,9
갑은 납품된 상품의 품질에 대한 기준 없이 수령을 거부할 수 있다,1,9
갑은 상품 수령 거부에 대한 구체적인 사유를 을에게 제공하지 않아도 된다,1,9
갑은 납품 후 상품 검수를 이유로 수령 대금을 지체할 수 있다,1,9
갑은 을의 납품 절차와 무관하게 상품 수령을 거부할 수 있다,1,9
갑은 납품 계약에 명시된 수량보다 적은 수량만을 수령할 수 있다,1,9
갑은 사전 협의 없이 을의 상품 납품 일정을 변경할 수 있다,1,9
갑은 납품된 상품의 훼손 여부와 상관없이 수령을 거부할 수 있다,1,9
갑은 을의 요청에도 불구하고 상품 수령 지연에 대한 이유를 설명하지 않아도 된다,1,9
갑은 납품된 상품이 계약 조건에 부합하지 않을 경우 을에게 사유를 고지하고 수령을 거부할 수 있다,0,9
갑은 납품 계약에 명시된 일정과 수량에 따라 상품을 수령한다,0,9
갑은 상품 수령 거부 시 납품된 상품의 문제점을 을에게 서면으로 통보한다,0,9
갑은 납품된 상품이 훼손되었을 경우에 한하여 수령을 거부할 수 있다,0,9
갑은 사전에 을과 협의하여 납품 일정을 조정한다,0,9
갑은 을이 납품한 상품의 품질 기준을 계약서에 명시된 대로 검토한다,0,9
갑은 을과 협의된 납품 조건을 준수하여 상품을 수령한다,0,9
"갑은 을에게 상품 수령 거부 사유를 명확히 전달하며, 관련 절차를 준수한다",0,9
갑은 계약 조건에 따라 납품된 상품을 확인 후 적정 기간 내에 수령한다,0,9
갑은 납품된 상품이 계약 조건과 부합하는 경우 이를 즉시 수령한다,0,9
갑은 정당한 사유 없이 납품받은 상품의 전부 또는 일부를 반품하지 않는다,0,10
갑은 계약체결 시 반품조건을 명시한 서면을 을에게 제공한 경우에만 반품할 수 있다,0,10
갑은 납품받은 상품에 하자가 있는 경우 합리적인 기간 내에 반품을 진행할 수 있다,0,10
갑은 계약한 상품과 다른 상품이 납품된 경우에만 반품을 허용한다,0,10
갑은 반품으로 발생하는 손실을 스스로 부담하고 을의 동의를 받은 경우에만 반품할 수 있다,0,10
갑은 직매입거래 상품의 반품조건을 계약체결 시 서면으로 명확히 약정한 경우에만 반품할 수 있다,0,10
갑은 을이 반품이 자신에게 이익이 된다는 근거자료를 첨부하여 자발적으로 요청한 경우에만 반품을 진행한다,0,10
갑은 대통령령에 따라 가맹점사업자로부터 반품받은 상품을 가맹본부가 납품업자에게 반품할 수 있다,0,10
갑은 신선농산물의 경우 대통령령으로 정한 기간 내에서만 반품할 수 있다,0,10
갑은 계약 내용에 준하는 정당한 사유가 있는 경우에만 반품을 허용한다,0,10
갑은 정당한 사유 없이 을의 동의 없이 상품을 반품할 수 있다,1,10
갑은 계약체결 시 반품조건을 약정하지 않고도 상품을 반품할 수 있다,1,10
갑은 계약된 상품과 일치하더라도 반품을 진행할 수 있다,1,10
갑은 납품받은 상품에 하자가 없는 경우에도 반품을 강요할 수 있다,1,10
갑은 반품으로 인한 손실을 을에게 부담하도록 요구할 수 있다,1,10
갑은 반품조건이 명시된 서면을 제공하지 않고 반품을 요구할 수 있다,1,10
갑은 을의 동의 없이 직매입 상품을 계약 내용과 관계없이 반품할 수 있다,1,10
갑은 반품조건과 상관없이 신선농산물을 대통령령으로 정한 기간을 초과하여 반품할 수 있다,1,10
갑은 계약 내용에 준하지 않은 사유로 을에게 반품을 강요할 수 있다,1,10
갑은 반품 시 을에게 추가적인 비용을 부담하도록 강제할 수 있다,1,10
갑은 판매촉진행사 이전에 을과 서면으로 판매촉진비용의 부담을 약정하지 않고 을에게 부담을 강요할 수 없다,0,11
갑은 판매촉진행사 비용 부담에 관한 약정을 서명 또는 기명날인한 서면으로 을에게 제공한다,0,11
갑은 판매촉진비용의 분담비율을 을과의 예상이익 비율에 따라 합리적으로 정한다,0,11
갑은 판매촉진비용의 분담비율을 100분의 50을 초과하지 않도록 한다,0,11
갑은 을의 요청으로 판매촉진행사를 실시할 경우 을과 협의하여 분담비율을 정한다,0,11
갑은 판매촉진행사에 소요되는 비용을 사전에 서면으로 명확히 약정한다,0,11
갑은 판매촉진행사의 예상이익 비율을 산정할 수 없는 경우 갑과 을의 예상이익을 동일한 비율로 추정한다,0,11
갑은 약정된 분담비율과 상관없이 을에게 추가적인 판매촉진비용을 요구하지 않는다,0,11
갑은 판매촉진비용의 부담에 관한 약정을 을에게 서면으로 제공한 후 협의한다,0,11
갑은 을과 합의된 분담비율에 따라 판매촉진비용을 부담한다,0,11
갑은 서면 약정 없이 판매촉진비용을 을에게 전가할 수 있다,1,11
갑은 예상이익 비율을 무시하고 을에게 판매촉진비용의 대부분을 부담시킬 수 있다,1,11
갑은 판매촉진비용 분담비율을 100분의 50을 초과하도록 설정할 수 있다,1,11
갑은 예상이익 비율과 상관없이 을에게 불리한 조건으로 판매촉진비용을 전가할 수 있다,1,11
갑은 판매촉진행사에 소요되는 모든 비용을 을에게 부담시킬 수 있다,1,11
갑은 서면 약정 없이 을에게 판매촉진행사 비용을 요구할 수 있다,1,11
갑은 판매촉진비용의 분담비율을 을의 동의 없이 임의로 결정할 수 있다,1,11
갑은 판매촉진행사 이후 을에게 소급하여 추가 비용을 부담시킬 수 있다,1,11
갑은 예상이익 비율 산정 없이 을에게 불리한 분담비율을 강요할 수 있다,1,11
갑은 을의 요청 없이 일방적으로 판매촉진행사 비용을 을에게 부담시킬 수 있다,1,11
갑은 을에게 판촉사원을 파견하도록 강요할 수 있다,1,12
갑은 을에게 판촉사원의 인건비를 부담시키도록 요구할 수 있다,1,12
갑은 을에게 사전 합의 없이 판촉사원을 파견하도록 요청할 수 있다,1,12
갑은 을의 동의 없이 판촉사원의 파견 조건을 변경할 수 있다,1,12
갑은 판촉사원의 예상 비용에 대한 근거를 제시하지 않고 을에게 부담을 요구할 수 있다,1,12
갑은 을에게 판촉사원 파견을 거부할 경우 불이익을 제공할 수 있다,1,12
갑은 판촉사원의 파견 서면에 비밀유지 조건을 포함하지 않을 수 있다,1,12
갑은 판촉사원의 비용을 명확히 하지 않고 을에게 부담을 전가할 수 있다,1,12
갑은 을에게 자발적 요청 없이 판촉사원을 제공하도록 요구할 수 있다,1,12
갑은 판촉사원의 전문성 여부와 상관없이 을에게 파견을 강요할 수 있다,1,12
갑은 판촉사원 파견 시 을과 서면으로 사전에 조건을 약정한다,0,12
갑은 판촉사원의 예상 비용과 내역을 서면으로 작성하여 을과 합의한다,0,12
갑은 을의 동의 없이 판촉사원의 파견을 요구하지 않는다,0,12
갑은 판촉사원 파견 시 모든 인건비를 포함한 비용을 부담한다,0,12
갑은 판촉사원 파견 조건에 대해 을과 투명하게 논의한다,0,12
갑은 판촉사원의 전문성과 관련된 서면 자료를 을에게 제공한다,0,12
갑은 을이 자발적으로 요청하지 않은 경우 판촉사원을 파견하지 않는다,0,12
갑은 판촉사원 파견 시 관련된 모든 조건을 명확히 서면에 기록한다,0,12
갑은 을의 동의를 받아 판촉사원 파견에 대한 계약을 체결한다,0,12
갑은 판촉사원의 파견 시 법령에 따라 공정한 절차를 준수한다,0,12
갑은 을에게 다른 사업자와의 거래를 중단하도록 요구할 수 있다,1,13
갑은 을에게 배타적 거래 조건을 명시하지 않고 암묵적으로 강요할 수 있다,1,13
갑은 을의 기존 거래처와의 계약을 중단하지 않으면 불이익을 줄 수 있다,1,13
갑은 을에게 특정 경쟁사와의 거래를 금지하도록 조건을 부과할 수 있다,1,13
갑은 을이 다른 사업자와 거래할 경우 납품 단가를 인하할 수 있다,1,13
갑은 을에게 배타적 거래의 대가로 부당한 요구를 할 수 있다,1,13
갑은 을과의 계약에서 배타적 거래를 하지 않을 경우 계약을 해지할 수 있다,1,13
갑은 을에게 특정 경쟁사 제품을 취급하지 않도록 조건을 부과할 수 있다,1,13
갑은 을이 다른 사업자와의 거래 사실을 보고하지 않으면 불이익을 제공할 수 있다,1,13
갑은 을에게 배타적 거래를 조건으로 추가 비용을 요구할 수 있다,1,13
갑은 을에게 배타적 거래를 강요하지 않으며 자유로운 거래를 보장한다,0,13
갑은 을이 다른 사업자와 거래하는 것을 방해하지 않는다,0,13
갑은 을과의 계약에 배타적 거래 조건을 포함하지 않는다,0,13
갑은 을에게 자유로운 거래를 보장하며 거래 조건을 공정하게 유지한다,0,13
갑은 을이 다른 사업자와의 거래 여부를 이유로 계약 조건을 변경하지 않는다,0,13
갑은 을이 다른 사업자와 거래하는 것을 이유로 불이익을 제공하지 않는다,0,13
갑은 을과의 계약에서 배타적 거래 강요 없이 상호 협력을 촉진한다,0,13
갑은 을이 다른 사업자와 거래하는 것을 이유로 계약을 해지하지 않는다,0,13
갑은 을에게 특정 경쟁사 제품을 취급하지 않을 것을 강요하지 않는다,0,13
갑은 을에게 배타적 거래 여부와 상관없이 공정한 조건으로 계약을 유지한다,0,13
갑은 을에게 다른 사업자와의 공급조건에 관한 정보를 제공하도록 요구할 수 있다,1,14
갑은 을이 입점조건에 대한 정보를 제출하지 않으면 계약을 해지할 수 있다,1,14
갑은 을에게 비밀유지 서면 없이 경영정보를 제출하도록 요구할 수 있다,1,14
갑은 을에게 경영정보 요구 목적을 명시하지 않고 자료를 제출하게 할 수 있다,1,14
갑은 을에게 경영정보 제출을 거부한 경우 불이익을 제공할 수 있다,1,14
갑은 을에게 납품업자의 거래 상대방에 대한 정보를 제공하도록 요구할 수 있다,1,14
갑은 경영정보 요구 시 최소한의 범위를 초과한 자료를 요청할 수 있다,1,14
갑은 서면 없이 을에게 납품업자의 경영정보를 요구할 수 있다,1,14
갑은 을의 의사와 무관하게 경영정보 제출을 강요할 수 있다,1,14
갑은 경영정보 제출을 요구하면서 서면에 비밀유지 조항을 포함하지 않을 수 있다,1,14
갑은 을에게 경영정보를 요구할 경우 목적과 비밀유지 사항을 서면으로 제공한다,0,14
갑은 을의 경영정보를 요구하지 않고 거래 조건을 공정하게 유지한다,0,14
갑은 경영정보 요구 시 필요한 최소한의 범위에서 자료를 요청한다,0,14
갑은 을과의 거래에서 비밀유지 서면 없이 경영정보를 요구하지 않는다,0,14
갑은 을이 경영정보를 제공하지 않더라도 계약 조건에 불이익을 제공하지 않는다,0,14
갑은 경영정보 요구 목적을 명시하고 을의 동의를 얻어 자료를 요청한다,0,14
갑은 서면에 비밀유지 조항을 포함하여 을에게 경영정보를 요구한다,0,14
갑은 을의 거래 상대방에 관한 정보를 요구하지 않는다,0,14
갑은 경영정보 제출 요구 시 을의 권리를 존중하며 공정하게 처리한다,0,14
갑은 경영정보 요구 시 을의 동의 없이는 추가 자료를 요청하지 않는다,0,14
갑은 을과 사전 서면 합의 없이 판매장려금 지급 기준을 변경할 수 있다,1,15
"갑은 을에게 판촉 행사에 참여하도록 강제하고, 관련 비용을 전액 부담하게 할 수 있다",1,15
갑은 을에게 재고 관리 실패를 이유로 추가적인 금전적 부담을 부과할 수 있다,1,15
갑은 을에게 서면 통보 없이 계약 조건을 일방적으로 변경할 수 있다,1,15
갑은 을과의 협의를 거치지 않고 판촉 비용을 을에게 전가할 수 있다,1,15
갑은 을에게 추가 판촉 행사를 강제하고 비용을 부담하도록 할 수 있다,1,15
갑은 을의 동의 없이 납품 단가를 조정할 수 있다,1,15
갑은 을에게 상품 판매 결과와 무관하게 고정된 금액의 손해배상을 요구할 수 있다,1,15
갑은 을에게 거래 실적을 이유로 추가적인 경제적 부담을 부과할 수 있다,1,15
갑은 을에게 판촉 행사를 이유로 판매장려금 지급을 지연할 수 있다,1,15
갑은 을에게 사전 협의를 통해 판촉 행사 비용을 분담하도록 할 수 있다,0,15
갑은 을과의 서면 합의를 통해 판매장려금 비율을 조정할 수 있다,0,15
갑은 을에게 판매장려금 지급 시기와 금액에 대해 사전에 협의해야 한다,0,15
갑은 을과의 계약 조건에 따라 합리적인 범위 내에서 판매장려금을 요구할 수 있다,0,15
갑은 을의 동의를 얻어 판촉 행사에 필요한 재원을 일부 부담할 수 있다,0,15
갑은 을과의 협의를 통해 납품 단가 조정을 요청할 수 있다,0,15
갑은 을에게 서면 통지를 통해 추가 비용 발생 가능성을 사전에 알릴 수 있다,0,15
갑은 을과 서면으로 합의한 경우 판촉 비용의 일부를 분담할 수 있다,0,15
갑은 을의 동의를 얻어 합리적인 범위에서 판촉 행사에 참여할 수 있다,0,15
갑은 을에게 계약 조건 변경 사항을 서면으로 알리고 합의 절차를 거쳐야 한다,0,15
갑은 을에게 통상의 납품 가격보다 현저히 낮은 가격으로 납품하도록 요구할 수 있다,1,17
갑은 을에게 판촉 행사를 이유로 통상의 납품 수량보다 많은 수량을 납품하도록 요구할 수 있다,1,17
갑은 한시적으로 인하된 납품 가격을 정상 가격으로 환원하는 것을 지연할 수 있다,1,17
갑은 을의 의사에 반하여 상품 광고를 시행하도록 요구할 수 있다,1,17
갑은 계약 기간 중 을의 매장 위치를 일방적으로 변경할 수 있다,1,17
갑은 계약 조건을 을과 협의 없이 변경하여 판매장려금 비율을 조정할 수 있다,1,17
갑은 을에게 상품권을 구매하도록 강요할 수 있다,1,17
갑은 을이 퇴점하지 못하도록 방해하거나 다른 점포로의 입점을 강제할 수 있다,1,17
갑은 을의 동의 없이 납품 계약 기간 중 시설 변경을 요구할 수 있다,1,17
갑은 을에게 불리한 계약 조건을 일방적으로 추가할 수 있다,1,17
갑은 납품 가격을 시장의 일반적인 가격 수준에 맞춰 을과 협의하여 결정한다,0,17
갑은 판매촉진행사를 실시할 경우 을과 협의하여 적정한 납품 수량을 결정한다,0,17
갑은 한시적으로 인하된 납품 가격을 약정 기한 이후 정상 가격으로 환원한다,0,17
갑은 을의 동의를 받아 상품 광고를 시행한다,0,17
갑은 계약 기간 동안 을의 매장 위치나 면적을 변경하지 않는다,0,17
갑은 판매장려금 비율 등 계약 조건 변경 시 을과 사전 서면 합의를 거친다,0,17
갑은 을에게 상품권이나 물품 구입을 강요하지 않는다,0,17
갑은 을의 퇴점이나 타 점포 입점과 관련하여 을의 의사를 존중한다,0,17
갑은 시설 변경이 필요할 경우 을과 협의하여 진행한다,0,17
갑은 을과 상호 합의한 계약 조건을 성실히 준수한다,0,17
갑은 을이 분쟁조정을 신청한 것을 이유로 계약 조건을 변경할 수 있다,1,18
갑은 을이 공정거래위원회에 자료를 제출한 것을 이유로 매장 임차 기회를 제한할 수 있다,1,18
갑은 을이 공정거래위원회 조사에 협조한 것을 이유로 불리한 조건을 추가할 수 있다,1,18
갑은 을이 공정거래위원회의 실태조사에 응한 것을 이유로 납품 기회를 박탈할 수 있다,1,18
