article_number,article_title,summary
<<<<<<< HEAD
1,목적,제1조 [목적] 이 계약서는 갑과 을 간의 상품 직매입거래에서 각자의 권리와 의무를 명확히 규정하여 거래의 기본 틀을 마련하는 것을 목적으로 한다.
2,기본원칙,"제2조 [기본원칙] 갑과 을은 상호 존중과 공정한 거래를 바탕으로 계약을 이행하며, 관련 법률을 준수하고 필요에 따라 계약서를 현실에 맞게 조정하여 동반성장을 추구한다. "
3,공정거래 준수 및 동반성장 지원,"제3조 [공정거래 준수 및 동반성장 지원] **제목: 공정거래 및 동반성장 지원**갑과 을은 공정하고 투명한 거래를 위해 금품 제공 금지와 부당 행위 금지를 준수하며, 우월적 지위 남용을 배격한다. 특히 갑은 을의 재무건전성 강화, 기술 발전 지원, 근무환경 개선 등을 통해 동반성장을 도모하는 다양한 프로그램을 운영한다. "
4,상품의 납품,"제4조 [상품의 납품] 계약에 따라 을은 갑에게 상품의 종류, 수량, 가격, 납품장소 및 기한을 명확히 명시하거나 관련 증빙서류로 대체하며, 법령 준수와 함께 납품 기한을 준수해야 한다. 갑은 상품 수령 시 법적 사유 외에는 지연 없이 수령하고, 을은 상품의 품질 및 계약 내용 준수를 위해 필요한 조치를 취하며, 갑은 부당한 가격 인하 요구 등을 금지하고 을의 책임 있는 사유 외에는 수령 지연을 허용하지 않는다."
5,검수기준 및 품질검사,"제5조 [검수기준 및 품질검사] 갑은 상품 검수를 위해 사전에 을에게 명확한 검수기준을 서면으로 제공받고, 필요시 샘플 요구 및 검사를 요청할 수 있으며, 검사비용은 을이 부담하지만 법적 기준 미충족 시 갑이 비용을 부담할 수 있다. 불합격 시 갑은 납품 중지와 시정 요구를 통해 계약 해지 권한을 행사할 수 있다."
6,납품대금 지급 및 감액금지,"제6조 [납품대금 지급 및 감액금지] 갑은 상품 입고 후 60일 이내에 현금 또는 기업구매 전용카드로 납품대금을 지급하되, 갑의 귀책사유가 아닌 경우에는 예외이며, 지연 시 공정거래위원회의 지연이자를 부과한다. 대금 감액은 계약 상품과 다름, 오손/훼손, 하자 등 정당한 사유에 한해 서면 합의 후 가능하며, 갑은 을에게 지급해야 할 대금에서 을의 비용을 공제할 수 있으나 사전 통지 의무가 있다."
6-2,공급원가 변동에 따른 납품 가격의 조정,"제6조의2 [공급원가 변동에 따른 납품 가격의 조정] 계약 이후 납품 가격 조정이 필요한 경우, 을은 공급원가 변동 증빙 서류와 기타 관련 서류를 첨부하여 갑에게 신청할 수 있으며, 갑은 10일 이내에 협의를 시작해야 한다. 합의에 이르지 못할 경우, 분쟁은 대규모유통업거래 조정협의회를 통해 해결될 수 있고, 갑은 을의 자발적 비용 부담을 요구할 수 있다."
7,상품의 반품,"제7조 [상품의 반품] 갑은 을로부터 매입한 상품의 반품을 정당한 사유 없이는 제한되나, 상품의 오손, 하자, 주문 불일치, 사전 동의, 특정 에디션의 한정 기간 판매, 자발적 교체 요청, 위조품 또는 법령 위반 상품, 브랜드 정책에 따른 반품, 사회 통념상 거의 불가능한 경우 등에 한해 합리적 기간 내에 반품이 가능하다. 반품 시 서면 요청과 함께 객관적 근거를 제시해야 하며, 반복적 부당 반품 시에는 양측의 협의 후 을이 거부권을 행사할 수 있다. 반품 기준은 사전 공지되며, 변경 시에도 즉시 통지되어야 한다."
8,판매장려금,"제8조 [판매장려금] 갑은 을로부터 상품 판매 촉진을 위해 일정 판매량 달성 시 연 1회 초과판매액의 5%를 판매장려금으로 수령할 수 있으며, 이 지급 조건과 판매장려금률은 소비자 성과와 반품 요청에 따라 갑과 을 간 합의에 따라 결정되고 변경된다. 갑은 계약 기간 동안 판매장려금 관련 불리한 변경을 시도하거나 추가적인 경제적 이익 제공을 금지하며, 모든 결정 과정은 서면 통지와 협의를 통해 이루어진다. "
9,판촉사원 파견 등,"제9조 [판촉사원 파견 등] 갑은 을로부터 판촉사원을 파견받아 상품 판매 및 관리 업무에 종사시키되, 파견 조건은 인건비 부담 면제, 잠재 이익과 비용의 명확한 제시, 숙련된 인력 파견 시 제한적 허용 등을 포함하며, 파견사원의 근무 기간과 비용 분담은 협의를 통해 결정되고, 관련 법규 교육 의무화와 파견 기준 사전 공지 의무가 명시되어 있다."
10,서비스 품질유지,"제10조 [서비스 품질유지] **제목: 고객 서비스 및 불만 처리 지침**갑과 을은 판촉사원의 우수한 서비스 제공을 보장하고, 고객 불만이 발생할 경우 즉시 보상과 시정 조치를 취하며, 재발 방지를 위해 비용 분담을 협의하여 해결한다. "
11,판촉행사 참여 등,"제11조 [판촉행사 참여 등] 판촉행사 시 갑과 을은 명칭, 기간, 상품 품목, 예상 비용 및 이익 비율, 분담 비율 등을 명시한 서면 합의를 통해 진행하며, 을의 자발적 참여 시 상호 협의로 분담 비율을 조정할 수 있다. 갑은 을의 의사에 반한 참여 강요나 광고를 금지하고, 판촉비용 분담은 예상 이익 비율을 기준으로 협의하거나 합리적인 경우 수익 기준으로 정하되, 을의 분담 비율은 최대 50%를 초과하지 않도록 한다. 또한, 갑은 사전에 판촉행사 기준을 공개하여 을에게 고지해야 한다."
12,매장 위치 및 면적 등,"제12조 [매장 위치 및 면적 등] 갑과 을 간의 계약 조건에 따라, 을의 점포 운영에 필요한 기본 정보와 함께 갑은 정당한 사유 없이 점포 퇴점 방해나 매장 변경을 금지하며, 설비 변경 시 기초시설 공사 비용은 갑이 부담하고, 변경 사유에 따라 비용 분담 비율을 상호 협의하여 결정한다. 특히, 을의 개별적인 사유로 인한 변경 시에는 사전 협의를 통해 비용 분담을 조정하며, 설비 변경 과정에서도 상호 협의를 통해 분쟁을 예방하고 공정한 시공을 보장한다. 계약 기간 중 갑의 부당한 행위나 매장 변경이 발생할 경우, 을에게 설비비용에 대한 보상 금액을 지급해야 한다."
12-2,매장이동 기준 등의 사전 통지,"제12조의2 [매장이동 기준 등의 사전 통지] 갑은 매장 위치, 면적, 시설 변경사항을 사전에 홈페이지나 서면으로 을에게 공지하고 변경 시 즉시 통지해야 하며, 을은 필요시 변경 여부 확인을 서면으로 요청할 수 있다. 이후 갑은 요청 후 30일 이내에 구체적인 변경 사유와 대상 여부를 서면으로 통지해야 한다."
13,기타 비용의 사전 통지,"제13조 [기타 비용의 사전 통지] 갑은 계약서에 명시되지 않은 추가 비용을 을에게 부과할 때, 사전에 홈페이지 등 접근 가능한 매체를 통해 공지하거나 서면으로 통지해야 하며, 비용 기준 변경 시에도 동일한 절차를 따라야 한다. 을에게 사전 통지와 협의 없이 추가 비용을 요구할 수 없다. "
14,경영정보 제공 요구 금지,"제14조 [경영정보 제공 요구 금지] 갑은 특정 조건 하에 을에게 상품 공급 조건, 입점 정보, 원가 정보, 매출 데이터 등 민감한 경영정보를 부당하게 요구할 수 있으나, 이 과정에서 을의 영업 비밀과 개인정보를 침해할 위험이 있으며, 요구 시 서면으로 목적, 비밀유지 방안, 제공 일정 등을 명시하고 갑과 을의 서명으로 동의를 받아야 한다. 요구 범위는 최소한으로 제한되어야 한다."
15,보복조치의 금지,"제15조 [보복조치의 금지] 갑은 계약 조건 변경이나 불이익 제공을 통해 을에게 불리한 상황을 초래해서는 안 되며, 특히 「대규모유통업 거래 공정화법」 관련 분쟁 조정 신청, 신고, 서면 실태 조사 협조, 그리고 공정거래위원회의 조사 협조 등에 있어 을에게 불리한 조치를 취해서는 안 된다."
16,각종 불이익 제공 금지 등,"제16조 [각종 불이익 제공 금지 등] 갑은 을과의 거래에서 부당한 이익 취득, 거래 제한 강요, 영업비밀 부당 이용, 상품 멸실 책임 전가, 경영 간섭 등의 행위를 삼가야 한다."
17,손해배상,"제17조 [손해배상] 계약 위반 시 책임 당사자는 상대방의 손해를 배상하되, 특히 갑이 유통업 관련 법률을 위반하여 손해를 준 경우에는 손해의 최대 5배 내에서 배상하며, 의도적이지 않은 경우나 오해로 인한 경우에는 배상 책임이 면제될 수 있다."
18,지식재산권 등,"제18조 [지식재산권 등] 을이 갑에게 납품하는 상품은 제3자의 지식재산권을 침해해서는 안 되며, 침해 분쟁 발생 시 을은 책임을 지고 그로 인한 손해를 배상한다. "
19,상표관련특약,"제19조 [상표관련특약] 을은 원칙적으로 직접 생산 또는 수입한 상품만을 갑에게 납품하되, 갑의 사전 동의와 품질 보장 하에 제3자 생산품도 납품 가능하다. 그러나 직접 생산하지 않은 상품에 대한 라벨 교체는 금지되며, 계약 위반 시 갑은 시정 요구 후 기간 내 시정이 없으면 계약 해지와 함께 손해 배상 책임을 지게 된다."
20,제조물책임,"제20조 [제조물책임] 을이 제공하는 상품의 결함으로 인해 갑의 고객이나 제3자가 손해를 입으면, 을은 「제조물책임법」에 따라 그 손해를 배상한다. "
21,권리ㆍ의무의 양도금지,"제21조 [권리ㆍ의무의 양도금지] 을은 계약상의 권리와 의무를 갑의 사전 동의 없이 제3자에게 양도하거나 이전할 수 없으나, 금전채권의 경우 갑에게 사전 통지 후 양도 또는 담보제공이 가능하다. "
22,통지의무,"제22조 [통지의무] 계약 중 중대한 변경 사항이 발생하면 갑과 을은 즉시 증빙 자료를 첨부한 전자문서 형태로 서면 통지를 해야 하며, 특히 사업자 정보 변경이나 자본 구조 변화 등이 해당되며, 을에게는 서면 통지 의무가 면제되고 임의로 조항 변경이 가능하다. "
23,비밀유지,"제23조 [비밀유지] 갑과 을은 상호 거래 과정에서 알게 된 영업비밀을 제3자에게 누설하지 않지만, 법적 의무나 법원 판결에 따라 예외적으로 누설할 수 있다. 이러한 의무는 거래 종료 후에도 3년간 지속된다."
24,계약해지,"제24조 [계약해지] 계약 해지 조건은 다음과 같다: 갑 또는 을의 지급 거부, 회생·파산 신청, 강제경매 등으로 인한 이행 불능, 브랜드 중단 또는 생산 중단, 법령 위반 상품 납품 불가, 영업정지 처분, 계약 중요 사항 위반 시 서면 통지 후 시정 기간 부여 후 해지 가능하며, 부득이한 사유로 해지 시 사전 통지 후 3개월 내 해지할 수 있다. 계약 해지 시 책임 있는 당사자는 상대방에게 손해 배상 책임을 진다."
25,상계,"제25조 [상계] 제25조에 따라 계약 해지 시, 이행기가 도래한 채무는 대등액으로 상계될 수 있습니다. "
26,계약의 유효기간 및 갱신,"제26조 [계약의 유효기간 및 갱신] 본 계약은 2024년 1월 1일부터 2025년 1월 1일까지 유효하며, 만료 전 60일 이내 서면 통지 없이는 자동 연장된다. 갑은 불공정 거래 지속 시 계약 갱신을 거절할 수 있으나, 거절 시 구체적 사유를 서면으로 통지하고, 을은 이의 신청 후 14일 이내 협의를 요구할 수 있다. 갑과 을 간 협의 실패 시 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다."
26-2,계약의 갱신 기준 등의 사전 통지,"제26조의2 [계약의 갱신 기준 등의 사전 통지] 갑은 계약갱신 거절 시 사전 공지 의무와 기준 변경 통지를 홈페이지 및 서면으로 을에게 명확히 해야 하며, 을의 계약 갱신 여부 확인 요청에 대해 14일 이내에 구체적인 답변을 서면으로 제공해야 한다."
27,분쟁해결 및 재판관할,"제27조 [분쟁해결 및 재판관할] 계약 분쟁 해결 절차는 갑과 을 간 합의를 우선하며, 합의 불가 시 일반 법령과 「대규모유통업 거래 공정화에 관한 법률」에 따른 조정을 통해 해결하고, 조정에도 불구하고 분쟁이 지속되면 민사재판을 통해 해결하거나 한국상사중재원의 중재로 최종 결정할 수 있다. "
28,계약의 효력,"제28조 [계약의 효력] 갑과 을은 계약 체결 전 충분한 협의를 통해 계약서를 작성하고 서명함으로써 합의 내용을 명확히 하였으며, 이 계약서에 명시된 내용 외의 구두 합의는 구속력이 없고, 변경이나 수정은 서면으로 서명해야 효력이 발생한다. 연태면세점은 갑에게 특정 조건 하에 상품을 납품하며, 구체적인 납품 장소, 기한, 상품 내역은 별도로 명시되어 있다."
1,목적,제1조 [목적] 이 계약서는 갑과 을 간의 상품 직매입거래에서 각자의 권리와 의무를 명확히 규정하여 거래의 기본 틀을 마련하는 것을 목적으로 한다.
2,기본원칙,"제2조 [기본원칙] 갑과 을은 상호 존중과 공정한 거래를 바탕으로 계약을 이행하며, 관련 법률을 준수하고 필요에 따라 계약서를 현실에 맞게 조정하여 동반성장을 추구한다. "
3,공정거래 준수 및 동반성장 지원,"제3조 [공정거래 준수 및 동반성장 지원] **제목: 공정거래 및 동반성장 지원**갑과 을은 공정하고 투명한 거래를 위해 금품 제공 금지와 부당 행위 금지를 준수하며, 우월적 지위 남용을 배격한다. 특히 갑은 을의 재무건전성 강화, 기술 발전 지원, 근무환경 개선 등을 통해 동반성장을 도모하는 다양한 프로그램을 운영한다. "
4,상품의 납품,"제4조 [상품의 납품] 계약에 따라 을은 갑에게 상품의 종류, 수량, 가격, 납품장소 및 기한을 명확히 명시하거나 관련 증빙서류로 대체하며, 납품 기한 미준수 시 사전 승인을 받아야 한다. 또한 관련 법령 준수와 함께 상품의 검수 후 수령 조건을 충족해야 하며, 갑은 상품의 하자나 주문 불일치 등 정당한 사유 외에는 수령을 지연시키지 않는다. 을은 납품 과정에서 발생하는 문제에 대해 갑과 협력하여 해결 방안을 모색하고, 갑은 부당한 가격 인하 요구 등을 금지하며, 을의 책임 있는 사유 외에는 납품 지연에 대한 책임을 지지 않는다."
5,검수기준 및 품질검사,"제5조 [검수기준 및 품질검사] 갑은 상품 검수를 위해 사전에 을에게 명확한 검수기준을 서면으로 제공받고, 필요시 샘플 요구 및 검사를 요청할 수 있으며, 검사비용은 을이 부담하지만 법적 기준 미충족 시 갑이 비용을 부담할 수 있다. 불합격 시 갑은 납품 중지와 시정 요구를 통해 계약 해지 권한을 행사할 수 있다."
6,납품대금 지급 및 감액금지,"제6조 [납품대금 지급 및 감액금지] 갑은 상품 입고 후 60일 이내에 현금 또는 기업구매 전용카드로 납품대금을 지급하되, 갑의 귀책사유가 아닌 경우에는 예외이며, 지연 시 공정거래위원회의 지연이자를 부과한다. 대금 감액은 계약 상품과 다름, 오손/훼손, 하자 등 정당한 사유에 한해 합의 후 최대 7일 이내에 가능하고, 갑은 사전에 공제 내역을 을에게 통지한다."
6-2,공급원가 변동에 따른 납품 가격의 조정,"제6조의2 [공급원가 변동에 따른 납품 가격의 조정] 을은 계약 후 발생한 최저임금 인상 및 원재료 가격 상승 등으로 인한 납품 가격 조정이 필요할 경우, 관련 증빙 서류를 첨부하여 갑에게 신청할 수 있으며, 갑은 신청 후 10일 이내에 협의를 시작해야 한다. 합의에 이르지 못할 경우, 분쟁은 대규모유통업거래 분쟁 조정협의회에 조정을 신청할 수 있다. "
7,상품의 반품,"제7조 [상품의 반품] 갑은 상품을 정당한 사유 없이 반품할 수 없으나, 오손, 하자, 주문 불일치, 사전 동의, 특정 시즌 제품의 한정 판매 조건 등 특정 예외 상황에서는 합리적인 기간 내에 반품이 가능하다. 반품 시 갑이 부담해야 하는 경우와 을의 사전 동의가 필수적이며, 반품 기한은 상품 종류에 따라 상이하고, 신선식품의 경우 더욱 엄격한 검수 기간이 적용된다. 갑은 반품 기준을 사전에 명확히 공지하거나 계약 시 명시해야 하며, 기준 변경 시에도 즉시 통지해야 한다."
8,판매장려금,"제8조 [판매장려금] 갑은 상품 판매 촉진을 위해 을로부터 조건에 따라 연 2회 판매장려금을 받을 수 있으며, 이는 판매량과 성과에 따라 차등 지급되며, 판매 목표 초과 시 추가 인센티브도 제공된다. 판매장려금의 결정 기준과 절차는 월간/분기별 실적에 따라 CRM 시스템으로 집계되고, 내부 협의를 거쳐 연 1회 변경될 수 있다. 갑은 계약 기간 동안 판매장려금 관련 불리한 변경을 금지하고, 추가적인 경제적 이익 제공도 금지한다."
9,판촉사원 파견 등,"제9조 [판촉사원 파견 등] **제목: 판촉사원 파견 및 운영 기준 요약**갑과 을 간의 판촉사원 파견은 인건비 부담 조건, 을의 자발적 요청, 특수 능력의 경우 등 특정 상황에서 이루어지며, 파견된 판촉사원은 을의 상품 판매 및 관리에 한정되어 근무한다. 파견 비용은 갑과 을이 협의하여 분담하며, 파견 기준은 갑의 홈페이지나 계약 시 서면으로 명확히 공지된다. 또한, 관련 법규 교육 의무와 함께 파견 기준 변경 시에도 투명하게 을에게 통지한다. "
10,서비스 품질유지,"제10조 [서비스 품질유지] **제목: 고객 서비스 및 불만 처리 지침**갑과 을은 판촉사원의 우수한 서비스 제공을 보장하고, 고객 불만이 발생할 경우 즉시 보상과 시정 조치를 취하며, 재발 방지를 위해 비용 분담을 협의하여 해결한다. "
11,판촉행사 참여 등,"제11조 [판촉행사 참여 등] 판촉행사에서 ""을""이 주도적으로 행사를 진행하며, 비용 분담 비율은 ""갑""의 명시적 동의 없이 최대 50%까지 ""갑""의 이익 극대화를 위해 조정될 수 있으나, 초과 시 강제 회수가 가능하다. ""갑""은 사전에 판촉행사 기준을 공개하고, 참여는 자발적이지만 행사의 차별성과 자발성을 인정하여 상호 협의 하에 비용 분담 비율을 조정할 수 있다. "
12,매장 위치 및 면적 등,"제12조 [매장 위치 및 면적 등] 갑과 을 간의 계약 조건에 따라, 을의 점포 운영 관련 정보와 설비 변경 시 비용 분담 및 통보 의무가 명확히 규정되어 있으며, 갑의 특정 행위나 을의 개별적인 사유에 따른 비용 분담 방식이 명시되어 있다. 특히, 설비 변경 시 기초시설 공사 비용은 갑이 부담하고, 그 외 비용은 갑과 을의 협의 하에 분담되며, 갑의 행위로 인한 을의 손실 보상 조항도 포함되어 있다."
12-2,매장이동 기준 등의 사전 통지,"제12조의2 [매장이동 기준 등의 사전 통지] 갑은 매장 위치, 면적, 시설 변경사항을 사전에 홈페이지나 서면으로 을에게 공지하고 변경 시 즉시 통지해야 하며, 을은 필요시 변경 여부 확인을 서면으로 요청할 수 있다. 이후 갑은 요청 후 30일 이내에 구체적인 변경 사유와 대상 여부를 서면으로 통지해야 한다."
13,기타 비용의 사전 통지,"제13조 [기타 비용의 사전 통지] 갑은 계약서에 명시되지 않은 추가 비용을 을에게 부과할 때, 사전에 홈페이지 등 접근 가능한 매체를 통해 공지하거나 서면으로 통지해야 하며, 비용 기준 변경 시에도 동일한 절차를 따라야 한다. 을에게 사전 통지와 협의 없이 추가 비용을 요구할 수 없다. "
14,경영정보 제공 요구 금지,"제14조 [경영정보 제공 요구 금지] 갑은 을에게 상품 공급 조건, 입점 조건, 원가 정보, 매출 데이터, 판매 프로모션 정보, 전자 거래 정보 등 민감한 경영정보를 부당하게 요구할 수 없으며, 요구 시 목적과 비밀유지 방안, 제공 일정 등을 명시한 서면을 제공해야 한다. "
15,보복조치의 금지,"제15조 [보복조치의 금지] 갑은 계약 조건 변경이나 기회 제한 없이, 「대규모유통업 거래 공정화법」 및 「독점규제 및 공정거래법」에 따른 공정거래위원회의 분쟁 조정 신청, 신고, 서면 조사 협조 등에 대해 을에게 불리한 조치를 취해서는 안 된다."
16,각종 불이익 제공 금지 등,"제16조 [각종 불이익 제공 금지 등] 갑은 을과의 거래에서 부당한 이익 취득, 거래 제한 강요, 영업비밀 부당 이용, 상품 멸실 책임 전가, 경영 간섭 등의 행위를 삼가야 한다."
17,손해배상,"제17조 [손해배상] 계약 위반 시 책임 있는 당사자는 상대방의 손해를 배상하며, 특히 갑이 「대규모유통업」 관련 법률을 위반해 손해를 준 경우 그 손해액을 5배까지 확대 배상해야 한다. 고의나 과실 없이 법적 책임을 회피하려는 시도는 엄격히 금지된다. "
18,지식재산권 등,"제18조 [지식재산권 등] 을이 갑에게 납품하는 상품은 제3자의 지식재산권을 침해해서는 안 되며, 침해 분쟁 발생 시 을은 책임을 지고 그로 인한 손해를 배상한다. "
19,상표관련특약,"제19조 [상표관련특약] 을은 원칙적으로 직접 생산 또는 수입한 상품을 갑에게 납품하되, 갑의 사전 동의 하에 제3자 생산 상품도 납품 가능하다. 그러나 직접 생산하지 않은 상품에 상표 라벨을 변경하여 납품하거나 계약 위반 시 갑의 시정 요구를 무시하면 계약 해지와 함께 손해 배상 책임이 따른다."
20,제조물책임,"제20조 [제조물책임] 을이 제공하는 상품의 결함으로 인해 갑의 고객이나 제3자가 손해를 입으면, 을은 「제조물책임법」에 따라 그 손해를 배상한다. "
21,권리ㆍ의무의 양도금지,"제21조 [권리ㆍ의무의 양도금지] 을은 계약상의 권리와 의무를 갑의 사전 동의 없이 제3자에게 양도하거나 이전할 수 없으나, 금전채권의 경우 갑에게 사전 통지 후 양도 또는 담보제공이 가능하다. "
22,통지의무,"제22조 [통지의무] 계약 당사자 갑과 을은 사업자 정보 변경, 자본 구조 변경, 개인사업자 법인 전환 등 중대한 사항 발생 시 증빙서류를 첨부한 서면 통지를 지체 없이 상대방에게 해야 하며, 통지는 계약상의 명시된 주소로 서면으로 이루어져야 효력이 발생한다. "
23,비밀유지,"제23조 [비밀유지] 갑과 을은 상호 거래 과정에서 알게 된 영업비밀을 제3자에게 누설하지 않지만, 법적 의무나 법원 판결에 따라 예외적으로 누설할 수 있다. 제1항의 비밀유지 의무는 거래 종료 후 **5년** 동안 지속된다."
24,계약해지,"제24조 [계약해지] 계약 해지 조건은 다음과 같다: 갑 또는 을이 어음 지급 거부, 회생/파산 신청, 강제경매 등 중 하나에 해당하거나, 주요 재산의 강제경매, 브랜드 중단, 법령 위반 상품 납품, 또는 영업정지 처분을 받을 경우 해지 가능하며, 계약 위반 시 시정 기간을 두고 서면 통보 후 해지할 수 있다. 부득이한 사유로 해지할 경우에도 사전 통지 후 3개월 내에 이루어져야 하며, 해지 시 책임 있는 당사자는 상대방에게 손해 배상 책임을 진다."
25,상계,"제25조 [상계] 제25조에 따라 계약 해지 시, 이행기가 도래한 채무는 대등액으로 상계될 수 있습니다. "
26,계약의 유효기간 및 갱신,"제26조 [계약의 유효기간 및 갱신] 본 계약은 2021년 3월 15일부터 2023년 3월 15일까지 유효하며, 만료 전 60일 이내 서면 통지 없이는 자동 연장된다. 갑은 불공정 거래 지속 시 계약 갱신을 거절할 수 있으나, 거절 시 구체적 사유를 서면으로 통지하고, 을은 이의 신청 후 14일 이내 협의를 요구할 수 있다. 갑과 을 간 협의 실패 시 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다."
26-2,계약의 갱신 기준 등의 사전 통지,"제26조의2 [계약의 갱신 기준 등의 사전 통지] 갑은 계약갱신 거절 시 사전 공지 의무와 기준 변경 시 즉시 통지 의무가 있으며, 을의 서면 요청에 따라 계약 갱신 여부를 14일 이내에 구체적으로 서면으로 답변해야 한다. "
27,분쟁해결 및 재판관할,"제27조 [분쟁해결 및 재판관할] 계약상의 분쟁 해결 절차는 갑과 을 간 합의를 우선하며, 합의가 이루어지지 않을 경우 일반적인 상관례와 법령에 따라 결정되고, 합의나 조정에도 불구하고 분쟁이 해결되지 않으면 한국공정거래조정원의 분쟁조정협의회에 조정을 신청할 수 있다. 만약 조정 신청을 하지 않는다면, 분쟁은 법원의 민사재판을 통해 해결되며, 당사자들은 관할 법원을 합의로 정할 수 있다. "
28,계약의 효력,"제28조 [계약의 효력] 갑과 을은 계약 체결 전 충분한 협의를 통해 계약서를 작성하고 서명함으로써 합의 내용을 명확히 하였으며, 이 계약서에 명시된 내용 외의 구두 합의는 구속력이 없고, 분쟁 해결을 위해 중재기관인 한국상사중재원의 중재를 동의하였다. 계약 내용의 변경은 서면 서명을 통해 이루어지며, 모든 조건과 세부 사항은 명시된 대로 진행된다. "
1,목적,제1조 [목적] 이 계약서는 갑과 을 간의 상품 직매입거래에서 각자의 권리와 의무를 명확히 규정하여 거래의 기본 틀을 마련하는 것을 목적으로 한다.
2,기본원칙,"제2조 [기본원칙] 갑과 을은 상호 존중과 공정한 거래를 바탕으로 계약을 이행하며, 관련 법률을 준수하고 필요에 따라 계약서를 현실에 맞게 조정하여 동반성장을 추구한다. "
3,공정거래 준수 및 동반성장 지원,"제3조 [공정거래 준수 및 동반성장 지원] **제목: 공정거래 및 동반성장 지원**갑과 을은 공정하고 투명한 거래를 위해 금품 제공 금지와 부당 행위 금지를 준수하며, 우월적 지위 남용을 배격한다. 특히 갑은 을의 재무건전성 강화, 기술 발전 지원, 근무환경 개선 등을 통해 동반성장을 도모하는 다양한 프로그램을 운영한다. "
4,상품의 납품,"제4조 [상품의 납품] 을은 갑에게 납품해야 할 상품의 종류, 수량, 가격, 납품장소 및 기한을 명시한 문서로 대체 가능하며, 납품 기한 및 장소 준수와 함께 관련 법령 준수 의무가 있다. 갑은 상품 수령 시 검수 기준에 따라 검수를 진행하고, 을의 책임 있는 사유 외에는 신속한 수령을 보장하되, 추가 검사 비용은 을이 부담해야 한다. 갑은 을의 납품에 대해 정당한 사유 없이 가격 인하 압박을 가하거나 추가 수량 납품 요구를 강제할 수 없으며, 이러한 행위에 대한 책임은 을에게 있다."
5,검수기준 및 품질검사,"제5조 [검수기준 및 품질검사] 갑은 상품 검수를 위해 사전에 을에게 명확한 검수기준을 서면으로 제공받고, 필요시 샘플 요구 및 검사를 요청할 수 있으며, 검사 비용은 을이 부담하지만 법적 기준 미충족 시 갑이 비용을 부담할 수 있다. 불합격 시 갑은 납품 중지와 시정 요구를 통해 손실 부담을 을에게 요구하고, 시정 거부 시 계약 해지 권한을 행사한다."
6,납품대금 지급 및 감액금지,"제6조 [납품대금 지급 및 감액금지] 갑은 납품대금을 상품 입고 후 60일 이내에 현금으로 지급해야 하며, 지연 시 추가 수수료를 부과할 수 있고, 거래 내역에 지연 이율 이자를 부과한다. 상품의 감액이나 지급 방식 변경은 계약상의 특정 사유나 합의 하에 이루어지며, 갑은 을에게 지급해야 할 대금에서 을의 비용을 공제할 수 있으나 사전 통지 의무가 있다."
