article_number,article_title,summary
6-2,공급원가 변동에 따른 납품 가격의 조정,"제6조의2 [공급원가 변동에 따른 납품 가격의 조정] 계약 이후 원가 변동으로 납품 가격 조정이 필요할 경우, 을은 관련 증빙 서류를 첨부하여 갑에게 신청할 수 있으며, 갑은 10일 이내에 협의를 시작해야 한다. 합의에 이르지 못할 경우, 분쟁은 대규모유통업거래 조정협의회에 조정을 신청할 수 있다. "
7,상품의 반품,"제7조 [상품의 반품] 갑은 을로부터 매입한 상품의 반품을 정당한 사유 없이는 제한하지만, 오손, 하자, 주문 불일치, 손실 부담 및 특정 시즌 상품 등 합리적인 기간 내의 요청에는 예외적으로 허용하며, 반품 기한은 제품 출고일로부터 30일 이내로 설정되어 있다 . 반품 시 갑의 사전 동의와 을의 사전 통지가 필수적이며, 반품 기준은 사전 공지 및 계약 시 명시된다."
8,판매장려금,"제8조 [판매장려금] 갑과 을 간의 판매장려금 제도는 상품 판매 성과에 따라 연 1회 또는 시즌별로 최대 7%의 판매장려금을 지급하며, 지급률은 전년 성장률과 시장 상황 등을 고려해 결정되고 매 시즌 시작 전 공식적으로 공유된다. 이 제도는 양사의 동기 부여와 상호 이익 증진을 목표로 하며, 계약 기간 중 부당한 변경이나 추가적인 경제적 이익 제공은 금지된다. "
9,판촉사원 파견 등,"제9조 [판촉사원 파견 등] 갑은 을의 판촉사원 파견 시, 인건비 부담 의무를 면제받을 수 있으나, 파견 사유가 명시된 경우에 한정되며, 파견된 판촉사원은 을의 상품 판매 및 관리 업무에 종사하고, 근무 기간과 비용 분담은 사전 협의를 통해 결정된다. 또한, 갑은 파견 기준을 사전에 공지하고 변경 시에도 을에게 통지하며, 을은 판촉사원에게 관련 법규 교육을 제공해야 한다."
10,서비스 품질유지,"제10조 [서비스 품질유지] **제목: 고객 서비스 및 불만 처리 지침**갑과 을은 판촉사원의 우수한 서비스 제공을 통해 고객 기대를 충족시키고, 정당한 불만 발생 시 즉시 보상과 시정 조치를 취하며 재발 방지를 위해 필요한 비용을 원인 분석과 과실 여부를 고려해 분담한다. "
11,판촉행사 참여 등,"제11조 [판촉행사 참여 등] 판촉행사 시 갑과 을은 명칭, 기간, 상품 품목, 예상 비용 및 이익 비율, 비용 분담 비율 등을 명시한 서면 합의를 통해 진행하며, 을의 자발적 참여 시 상호 협의로 분담 비율을 조정할 수 있다. 또한, 갑은 행사 기준을 사전에 공개하고 변경 시에도 고지해야 하며, 을의 판촉비용 분담 비율은 최대 50%를 초과하지 않도록 규정되어 있다. "
12,매장 위치 및 면적 등,"제12조 [매장 위치 및 면적 등] 갑과 을 간의 계약 조건에 따라, 을의 점포 운영 관련 정보와 설비 변경 시 비용 분담 및 사전 협의 의무가 명확히 규정되어 있으며, 갑의 부당한 퇴점 방해나 계약 기간 중의 무단 변경 행위는 엄격히 금지되고, 위반 시 보상 조항이 적용된다. 또한, 설비 변경 시 기초 시설 공사 비용은 갑이 부담하고, 변경 사유에 따라 비용 분담 비율이 협의되며, 공사 과정에서의 분쟁 예방을 위해 공개 입찰 시스템을 활용한다."
12-2,매장이동 기준 등의 사전 통지,"제12조의2 [매장이동 기준 등의 사전 통지] 갑은 매장 위치, 면적, 시설 변경사항을 사전에 홈페이지나 서면으로 을에게 공지하고 변경 시 즉시 통지해야 하며, 을은 필요시 변경 여부 확인을 서면으로 요청할 수 있다. 이후 갑은 요청 후 30일 이내에 구체적인 변경 내용과 이유를 서면으로 통지해야 한다."
13,기타 비용의 사전 통지,"제13조 [기타 비용의 사전 통지] 갑은 계약서에 명시되지 않은 추가 비용을 부과할 때, 사전에 홈페이지 등 접근 가능한 매체를 통해 공지하거나 서면으로 을에게 통지해야 하며, 비용 기준 변경 시에는 협의 없이 갑의 이익만을 고려한 조정을 진행해야 한다. 을에게 사전 통지나 협의 없이 추가 비용을 요구할 수 없다. "
14,경영정보 제공 요구 금지,"제14조 [경영정보 제공 요구 금지] 갑은 을에게 상품 공급 조건, 입점 조건, 원가 정보, 매출 정보, 판매촉진 활동 내용, 전자 정보 접근 정보 등 민감한 경영정보를 부당하게 요구할 수 없으며, 요구 시 목적과 비밀유지 방안, 제공 일정 등을 명시한 서면을 제공해야 한다. "
15,보복조치의 금지,"제15조 [보복조치의 금지] 갑은 계약 조건 변경이나 불이익 제공을 통해 을에게 불리한 상황을 초래해서는 안 되며, 특히 「대규모유통업 거래 공정화법」 관련 분쟁 조정 신청, 신고, 서면 실태 조사 협조, 그리고 공정거래위원회의 조사 협조 등에 있어 을에게 불리한 조치를 취해서는 안 된다."
16,각종 불이익 제공 금지 등,"제16조 [각종 불이익 제공 금지 등] 갑은 을과의 거래에서 부당한 이익 취득, 거래 제한 강요, 영업비밀 부당 이용, 상품 멸실 책임 전가, 경영 간섭 등의 행위를 삼가야 한다."
17,손해배상,"제17조 [손해배상] 계약 위반 시 책임 당사자는 상대방의 손해를 배상하되, 특히 갑이 「대규모유통업 거래 공정화 법률」 위반으로 손해를 준 경우에는 그 손해의 최대 3배까지 배상할 수 있으나, 고의나 과실이 없는 경우에는 배상 범위가 제한된다."
18,지식재산권 등,"제18조 [지식재산권 등] 을이 갑에게 납품하는 상품은 제3자의 지식재산권을 침해해서는 안 되며, 침해 분쟁 발생 시 을은 책임을 지고 그로 인한 손해를 배상한다. "
19,상표관련특약,"제19조 [상표관련특약] 을은 원칙적으로 직접 생산 또는 수입한 상품을 갑에게 납품하되, 갑의 사전 동의 하에 제3자 생산 상품도 납품 가능하다. 그러나 직접 생산하지 않은 상품에 상표 라벨을 변경하여 납품하거나 계약 위반 시 갑의 시정 요구를 무시하면 계약 해지와 함께 손해 배상 책임이 따른다."
20,제조물책임,"제20조 [제조물책임] 을이 제공하는 상품의 결함으로 인해 갑의 고객이나 제3자가 손해를 입으면, 을은 「제조물책임법」에 따라 그 손해를 배상한다. "
21,권리ㆍ의무의 양도금지,"제21조 [권리ㆍ의무의 양도금지] 을은 계약상의 권리와 의무를 갑의 사전 동의 없이 제3자에게 양도하거나 이전할 수 없으나, 금전채권의 경우 갑에게 사전 통지 후 양도 또는 담보제공이 가능하다. "
22,통지의무,"제22조 [통지의무] 갑과 을은 사업자 정보 변경, 자본 구조 변경, 개인사업자 법인 전환 등 중대한 계약 이행 관련 사유 발생 시 즉시 서면 통지를 주소로 직접 발송해야 하며, 이 통지는 상대방 확인 없이 계약상의 효력을 갖는다. "
23,비밀유지,"제23조 [비밀유지] 갑과 을은 상호 거래 과정에서 알게 된 영업비밀을 제3자에게 누설하지 않지만, 법적 의무나 법원 판결에 따라 예외적으로 누설할 수 있다. 제1항의 비밀유지 의무는 거래 종료 후 **5년** 동안 지속된다."
24,계약해지,"제24조 [계약해지] 계약 해지 조건은 다음과 같다: 갑 또는 을이 어음 지급 거부, 회생/파산 신청, 강제경매 등 중 하나에 해당하거나, 주요 재산의 강제경매, 브랜드 중단, 법령 위반 상품 납품, 또는 영업정지 처분을 받을 경우 해지 가능하며, 계약 위반 시 시정 기간을 두고 서면 통보 후 해지할 수 있다. 부득이한 사유로 해지할 경우에도 사전 통지 후 3개월 내에 이루어져야 하며, 해지 시 책임 있는 당사자는 상대방에게 손해 배상 책임을 진다."
25,상계,"제25조 [상계] 제25조에 따라 계약 해지 시, 이행기가 도래한 채무는 대등액으로 상계될 수 있습니다. "
26,계약의 유효기간 및 갱신,"제26조 [계약의 유효기간 및 갱신] 본 계약은 2025년 4월 12일부터 2027년 6월 30일까지 유효하며, 만료 전 60일 이내 서면 통지 없이는 자동 연장된다. 갑은 불공정 거래 지속 시 계약 갱신을 거절할 수 있으나, 거절 시 구체적 사유를 서면으로 통지하고, 을은 이의 신청 후 14일 이내 협의를 요구할 수 있다. 갑과 을 간 협의 실패 시 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다."
26-2,계약의 갱신 기준 등의 사전 통지,"제26조의2 [계약의 갱신 기준 등의 사전 통지] 갑은 계약갱신 거절 시 사전 공지 의무와 기준 변경 시 즉시 통지 의무가 있으며, 을의 서면 요청에 따라 계약 갱신 여부를 14일 이내에 구체적으로 서면으로 답변해야 한다. "
27,분쟁해결 및 재판관할,"제27조 [분쟁해결 및 재판관할] 계약상의 분쟁 해결 절차는 갑과 을 간 합의를 우선하며, 합의가 이루어지지 않을 경우 일반적인 상관례와 법령에 따라 결정되고, 여전히 해결되지 않으면 한국공정거래조정원의 분쟁조정협의회에 조정을 신청할 수 있다. 조정 신청을 거부할 경우, 분쟁은 법원의 민사재판을 통해 해결되며, 당사자들은 관할 법원을 합의로 정할 수 있다. "
28,계약의 효력,"제28조 [계약의 효력] 대전광역시 소재 신무 면세점과 레브 드 루미에르는 계약 체결 전 충분한 협의를 거쳐 계약서 2부를 작성하고, 중재를 통한 분쟁 해결을 합의하였다. 계약서에는 납품장소와 기한이 명시되어 있으며, 상품 납품 조건과 수량, 단가가 포함되어 있어 서면 합의에 따른 변경만 가능하며, 모든 내용은 계약 체결 후 기명날인을 통해 확정된다."
1,목적,제1조 [목적] 이 계약서는 갑과 을 간의 상품 직매입거래에서 각자의 권리와 의무를 명확히 규정하여 거래의 기본 틀을 마련하는 것을 목적으로 한다.
2,기본원칙,"제2조 [기본원칙] 갑과 을은 상호 존중과 공정한 거래를 바탕으로 계약을 이행하며, 관련 법률을 준수하고 필요에 따라 계약서를 현실에 맞게 조정하여 동반성장을 추구한다. "
3,공정거래 준수 및 동반성장 지원,"제3조 [공정거래 준수 및 동반성장 지원] **제목: 공정거래 및 동반성장 지원**갑과 을은 공정하고 투명한 거래를 위해 금품 제공 금지와 부당 행위 금지를 준수하며, 우월적 지위 남용을 배격한다. 특히 갑은 을의 재무건전성 강화, 기술 발전 지원, 근무환경 개선 등을 통해 동반성장을 도모하는 다양한 프로그램을 운영한다. "
4,상품의 납품,"제4조 [상품의 납품] 계약에 따라 을은 갑에게 정해진 상품의 종류, 수량, 가격, 납품장소 및 기한을 준수하며, 관련 법령을 준수하여 납품해야 한다. 갑은 상품의 정상적인 수령을 보장하되, 불가피한 훼손이나 하자 등 특정 사유 외에는 납품 지연에 대한 책임을 지지 않으며, 을은 납품 과정에서 발생하는 문제에 대해 갑과 협력하여 해결 방안을 모색해야 한다. 갑은 부당한 가격 인하나 수량 조작 행위를 금지하며, 이러한 위반 시 을에게 직접적인 책임을 묻지 않는다."
5,검수기준 및 품질검사,"제5조 [검수기준 및 품질검사] 갑은 상품 검수 시 을에게 사전 기준을 서면으로 제공하고, 필요한 경우 샘플을 요구하거나 품질 및 성분 검사를 요청할 수 있으며, 검사 비용은 을이 부담하지만 법적 기준 미충족 시 갑이 비용을 부담하거나 납품 중지 및 시정 요구를 통해 계약 해지 시 을의 비용을 청구할 수 있다."
6,납품대금 지급 및 감액금지,"제6조 [납품대금 지급 및 감액금지] ""갑""은 상품 입고 후 최대 30일 이내에 대금을 이체하되, 외부 요인으로 인한 지연 시 추가 15일 연장 가능하며, 이 기간 내에도 지급되지 않으면 법규를 무시할 수 있으나 ""을""의 추가 법적 대응은 금지된다. 지연 시 이자 부과와 감액 조건이 명시되어 있으며, 특히 화장품의 경우 검수 후 7일 이내에 감액 여부를 결정하고, 계약 상품과의 불일치나 하자 등 정당한 사유에 따라 대금 조정이 가능하다. 갑은 합의 하에 비용 공제 후 대금을 지급할 수 있으나, 공제 내역은 사전에 통지해야 한다."
6-2,공급원가 변동에 따른 납품 가격의 조정,"제6조의2 [공급원가 변동에 따른 납품 가격의 조정] 계약 이후 원가 변동으로 납품 가격 조정이 필요할 경우, 을은 관련 증빙 서류를 첨부하여 갑에게 신청할 수 있으며, 갑은 10일 이내에 협의를 시작해야 한다. 합의에 이르지 못할 경우, 분쟁은 대규모유통업거래 조정협의회에 조정을 신청할 수 있다. "
7,상품의 반품,"제7조 [상품의 반품] 갑은 상품을 정당한 사유 없이 반품할 수 없으나, 오손, 하자, 주문 불일치, 사전 동의, 특정 시즌 상품의 경우 등 합리적인 기간 내에 반품 요청 시 예외적으로 허용되며, 반품 비용은 상품 하자의 경우 을이 부담하고 기타 사유는 갑이 부담한다. 반품 절차는 서면 요청과 함께 사전 공지된 기준에 따라 이루어져야 하며, 부당한 반복 반품 시에는 양측이 협의를 통해 해결하거나 을이 거부할 수 있다. 반품 기한은 상품 수령 후 최대 60일 이내이며, 육안 확인이 어려운 하자는 검사 결과 제출 시 조정 가능하다."
8,판매장려금,"제8조 [판매장려금] 갑과 을 간의 판매장려금 제도는 시장 동향과 판매 실적을 바탕으로 매분기 초 협의를 통해 결정되며, 필요시 예기치 않은 상황에 따라 최대 10% 범위 내에서 조정 가능하다. 이 과정은 서면으로 기록되고 양측의 동의를 필요로 하며, 갑은 계약 기간 동안 판매장려금 관련 불리한 변경이나 추가적인 경제적 이익 제공을 금지한다. "
9,판촉사원 파견 등,"제9조 [판촉사원 파견 등] 갑은 을로부터 판촉사원을 파견받아 판매 업무를 지원하되, 파견 조건은 인건비 부담 면제, 갑의 직원 파견 강요 금지, 을의 자발적 요청 및 특수 능력 판촉사원 파견 시 적용되며, 파견된 판촉사원은 을의 상품 판매 및 관리에 한정되어 근무하고, 근무 기간과 비용 분담은 구체적 협의를 통해 결정된다. 또한, 관련 법규 교육 의무화와 파견 기준의 사전 공지 및 변경 통지 의무가 명시되어 있다."
10,서비스 품질유지,"제10조 [서비스 품질유지] **제목: 고객 서비스 및 불만 처리 지침**갑과 을은 판촉사원의 우수한 서비스 제공을 보장하고, 고객 불만이 발생할 경우 즉시 보상과 시정 조치를 취하며, 재발 방지를 위해 비용 분담을 협의하여 해결한다. "
11,판촉행사 참여 등,"제11조 [판촉행사 참여 등] 판촉행사 시 갑과 을은 명칭, 기간, 상품 품목, 예상 비용 및 이익 비율, 비용 분담 비율 등을 명시한 서면 합의를 통해 진행하며, 을의 자발적 참여 시 상호 협의로 분담 비율을 조정할 수 있다. 또한, 갑은 판촉행사의 기준을 사전에 공개하고 변경 시에도 고지해야 하며, 을의 판촉비용 분담 비율은 최대 50%를 초과하지 않도록 규정되어 있다. "
12,매장 위치 및 면적 등,"제12조 [매장 위치 및 면적 등] 갑과 을 간의 계약 조건에 따라, 을의 점포 운영에 필요한 기본 정보와 설비 변경 시 비용 분담 및 통보 의무가 명확히 규정되어 있으며, 갑의 부당한 퇴점 방해나 설비 변경으로 인한 손해 발생 시 을에게 보상 책임이 부과된다. "
12-2,매장이동 기준 등의 사전 통지,"제12조의2 [매장이동 기준 등의 사전 통지] 갑은 매장 위치, 면적, 시설 변경사항을 사전에 홈페이지나 서면으로 을에게 공지하고 변경 시 즉시 통지해야 하며, 을은 필요시 변경 여부 확인을 서면으로 요청할 수 있다. 이후 갑은 요청 후 30일 이내에 구체적인 변경 사유와 대상 여부를 서면으로 통지해야 한다."
13,기타 비용의 사전 통지,"제13조 [기타 비용의 사전 통지] 갑은 계약서에 명시되지 않은 추가 비용을 부과할 때, 사전에 홈페이지 등 접근 가능한 매체를 통해 공지하거나 서면으로 통지해야 하며, 비용 기준 변경 시에도 동일한 절차를 따른다. 단, 을에게 유리한 변경은 의무적으로 협의해야 하지만, 사전 통지나 협의 과정을 무시할 경우 갑은 부과된 비용의 150% 초과 금액을 강제 청구할 수 있다."
14,경영정보 제공 요구 금지,"제14조 [경영정보 제공 요구 금지] 갑은 을에게 상품 공급 조건, 입점 조건, 원가 정보, 매출 데이터, 판매 프로모션 정보, 전자 거래 정보 등 민감한 경영정보를 부당하게 요구할 수 없으며, 요구 시 목적과 비밀유지 방안, 제공 일정 등을 명시한 서면을 제공해야 한다. "
15,보복조치의 금지,"제15조 [보복조치의 금지] 갑은 계약 조건 변경이나 불이익 제공을 통해 을에게 불리한 상황을 초래해서는 안 되며, 특히 「대규모유통업 거래 공정화법」 관련 분쟁 조정 신청, 신고, 서면 실태 조사 협조, 그리고 공정거래위원회의 조사 협조 등에 있어 을에게 불리한 조치를 취해서는 안 된다."
16,각종 불이익 제공 금지 등,"제16조 [각종 불이익 제공 금지 등] 갑은 을과의 거래에서 부당한 이익 취득, 거래 제한 강요, 영업비밀 부당 이용, 상품 멸실 책임 전가, 경영 간섭 등의 행위를 삼가야 한다."
17,손해배상,"제17조 [손해배상] 계약 위반 시 책임 당사자는 상대방의 손해를 배상하되, 특히 갑이 「대규모유통업 거래 공정화 법률」 위반으로 손해를 준 경우에는 그 손해의 최대 3배까지 배상할 수 있으나, 고의나 과실이 없는 경우에는 배상 범위가 제한된다."
18,지식재산권 등,"제18조 [지식재산권 등] 을이 갑에게 납품하는 상품은 제3자의 지식재산권을 침해해서는 안 되며, 침해 분쟁 발생 시 을은 책임을 지고 그로 인한 손해를 배상한다. "
19,상표관련특약,"제19조 [상표관련특약] 을은 원칙적으로 직접 생산 또는 수입한 상품만을 갑에게 납품하되, 갑의 사전 동의와 품질 보장 하에 제3자 생산품도 납품 가능하다. 그러나 직접 생산하지 않은 상품에 대한 라벨 교체는 금지되며, 계약 위반 시 갑은 시정 요구 후 기간 내 시정이 없으면 계약 해지와 함께 손해 배상 책임을 지게 된다."
20,제조물책임,"제20조 [제조물책임] 을이 제공하는 상품의 결함으로 인해 갑의 고객이나 제3자가 손해를 입으면, 을은 「제조물책임법」에 따라 그 손해를 배상한다. "
21,권리ㆍ의무의 양도금지,"제21조 [권리ㆍ의무의 양도금지] 을은 계약상의 권리와 의무를 갑의 사전 동의 없이 제3자에게 양도하거나 이전할 수 없으나, 금전채권의 경우 갑에게 사전 통지 후 양도 또는 담보제공이 가능하다. "
22,통지의무,"제22조 [통지의무] 갑과 을은 사업자 정보 변경, 자본 구조 변경, 사업자 형태 변경 등 중대한 계약 이행 관련 사유 발생 시 즉시 서면 통지를 해야 하며, 통지는 계약상의 주소로 이루어져야 상대방에게 도달해야 효력이 발생한다. "
23,비밀유지,"제23조 [비밀유지] 갑과 을은 상호 거래 과정에서 알게 된 영업비밀을 제3자에게 누설하지 않지만, 법적 의무나 법원 판결에 따라 예외적으로 누설할 수 있다. 제1항의 비밀유지 의무는 거래 종료 후 **5년** 동안 지속된다."
24,계약해지,"제24조 [계약해지] 계약 해지 조건은 다음과 같다: 갑 또는 을이 어음 지급 거부, 회생/파산 신청, 강제경매 등 중 하나에 해당하거나, 주요 재산의 강제경매, 브랜드 중단, 법령 위반 상품 납품, 또는 영업정지 처분을 받을 경우 해지 가능하며, 계약 위반 시 시정 기간을 두고 서면 통보 후 해지할 수 있다. 부득이한 사유로 해지할 경우에도 사전 통지 후 3개월 내에 이루어져야 하며, 해지 시 책임 있는 당사자는 상대방에게 손해 배상 책임을 진다."
25,상계,"제25조 [상계] 제25조에 따라 계약 해지 시, 이행기가 도래한 채무는 대등액으로 상계될 수 있습니다. "
26,계약의 유효기간 및 갱신,"제26조 [계약의 유효기간 및 갱신] 본 계약은 2018년 5월 1일부터 2020년 4월 31일까지 유효하며, 만료 전 60일 이내 서면 통지 없이 갱신되지 않으면 갑의 요청에 따라 자동 연장된다. 갑은 불공정 거래를 이유로 계약 갱신을 거절할 수 있으나, 거절 시 구체적인 사유를 서면으로 통지해야 하며, 을은 이의 신청 후 갑과 협의를 시작해야 한다. 갑과 을 간 협의 실패나 갑의 거부 시 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다."
26-2,계약의 갱신 기준 등의 사전 통지,"제26조의2 [계약의 갱신 기준 등의 사전 통지] 갑은 계약갱신 거절 시 사전 공지 의무와 기준 변경 시 즉시 통지 의무가 있으며, 을의 서면 요청에 따라 계약 갱신 여부를 14일 이내에 구체적으로 서면으로 답변해야 한다. "
27,분쟁해결 및 재판관할,"제27조 [분쟁해결 및 재판관할] 계약상의 분쟁 해결 절차는 갑과 을 간 합의를 우선하며, 합의가 이루어지지 않을 경우 일반적인 상관례와 법령에 따라 결정되고, 여전히 해결되지 않으면 한국공정거래조정원의 분쟁조정협의회에 조정을 신청할 수 있다. 조정 신청을 거부할 경우, 분쟁은 법원의 민사재판을 통해 해결되며, 당사자들은 관할 법원을 합의로 정할 수 있다. "
28,계약의 효력,"제28조 [계약의 효력] 갑과 을은 계약 체결 전 충분한 협의를 거쳐 계약서 두 부를 작성하고, 중재를 통한 분쟁 해결을 합의하였으며, 이 계약 내용은 서면으로만 변경 가능하다는 점을 명확히 하였다. 계약 조건은 울산광역시와 서울특별시에 위치한 두 기업 간의 상품 납품에 관한 세부 사항을 포함하고 있다. "
=======
1,목적,제1조 목적 이 계약서는 갑과 을 간의 상품 직매입거래에서 각자의 권리와 의무를 명확히 규정하여 거래의 기본 틀을 마련하는 것을 목적으로 한다.
2,기본원칙,"제2조 기본원칙 갑과 을은 상호 존중과 공정한 거래를 바탕으로 계약을 이행하며, 관련 법률을 준수하고 필요에 따라 계약서를 현실에 맞게 조정하여 동반성장을 추구한다. (법률 준수와 유연한 계약 조정을 통해 공정한 관계 구축)"
3,공정거래 준수 및 동반성장 지원,"제3조 공정거래 준수 및 동반성장 지원 **제목: 공정거래 및 동반성장 지원**갑과 을은 공정하고 투명한 거래를 위해 금품 제공 금지와 부당 행위 금지를 준수하며, 우월적 지위 남용을 배격한다. 특히 갑은 을의 재무건전성 강화, 기술 발전 지원, 근무환경 개선 등을 통해 동반성장을 도모하는 다양한 프로그램을 운영한다. (이 내용은 상호 협력과 지속 가능한 발전을 목표로 함)"
4,상품의 납품,"제4조 상품의 납품 계약에 따라 을은 갑에게 상품의 종류, 수량, 가격, 납품장소 및 기한을 명확히 명시하거나 관련 증빙서류로 대체하며, 법령 준수와 함께 납품 기한을 준수해야 한다. 갑은 상품 수령 시 법적 사유 외에는 지연 없이 수령하고, 을은 상품의 품질 및 계약 내용 준수를 위해 필요한 조치를 취하며, 갑은 부당한 가격 인하 요구 등을 금지하고 을의 책임 있는 사유 외에는 수령 지연을 허용하지 않는다."
5,검수기준 및 품질검사,"제5조 검수기준 및 품질검사 갑은 상품 검수를 위해 사전에 을에게 명확한 검수기준을 서면으로 제공받고, 필요시 샘플 요구 및 검사를 요청할 수 있으며, 검사비용은 을이 부담하지만 법적 기준 미충족 시 갑이 비용을 부담할 수 있다. 불합격 시 갑은 납품 중지와 시정 요구를 통해 계약 해지 권한을 행사할 수 있다."
6,납품대금 지급 및 감액금지,"제6조 납품대금 지급 및 감액금지 갑은 상품 입고 후 60일 이내에 현금 또는 기업구매 전용카드로 납품대금을 지급하되, 갑의 귀책사유가 아닌 경우에는 예외이며, 지연 시 공정거래위원회의 지연이자를 부과한다. 대금 감액은 계약 상품과 다름, 오손/훼손, 하자 등 정당한 사유에 한해 서면 합의 후 가능하며, 갑은 을에게 지급해야 할 대금에서 을의 비용을 공제할 수 있으나 사전 통지 의무가 있다."
6-2,공급원가 변동에 따른 납품 가격의 조정,"제6조의2 공급원가 변동에 따른 납품 가격의 조정 계약 이후 납품 가격 조정이 필요한 경우, 을은 공급원가 변동 증빙 서류와 기타 관련 서류를 첨부하여 갑에게 신청할 수 있으며, 갑은 10일 이내에 협의를 시작해야 한다. 합의에 이르지 못할 경우, 분쟁은 대규모유통업거래 조정협의회를 통해 해결될 수 있고, 갑은 을의 자발적 비용 부담을 요구할 수 있다."
7,상품의 반품,"제7조 상품의 반품 갑은 을로부터 매입한 상품의 반품을 정당한 사유 없이는 제한되나, 상품의 오손, 하자, 주문 불일치, 사전 동의, 특정 에디션의 한정 기간 판매, 자발적 교체 요청, 위조품 또는 법령 위반 상품, 브랜드 정책에 따른 반품, 사회 통념상 거의 불가능한 경우 등에 한해 합리적 기간 내에 반품이 가능하다. 반품 시 서면 요청과 함께 객관적 근거를 제시해야 하며, 반복적 부당 반품 시에는 양측의 협의 후 을이 거부권을 행사할 수 있다. 반품 기준은 사전 공지되며, 변경 시에도 즉시 통지되어야 한다."
8,판매장려금,"제8조 판매장려금 갑은 을로부터 상품 판매 촉진을 위해 일정 판매량 달성 시 연 1회 초과판매액의 5%를 판매장려금으로 수령할 수 있으며, 이 지급 조건과 판매장려금률은 소비자 성과와 반품 요청에 따라 갑과 을 간 합의에 따라 결정되고 변경된다. 갑은 계약 기간 동안 판매장려금 관련 불리한 변경을 시도하거나 추가적인 경제적 이익 제공을 금지하며, 모든 결정 과정은 서면 통지와 협의를 통해 이루어진다. (요약)"
9,판촉사원 파견 등,"제9조 판촉사원 파견 등 갑은 을로부터 판촉사원을 파견받아 상품 판매 및 관리 업무에 종사시키되, 파견 조건은 인건비 부담 면제, 잠재 이익과 비용의 명확한 제시, 숙련된 인력 파견 시 제한적 허용 등을 포함하며, 파견사원의 근무 기간과 비용 분담은 협의를 통해 결정되고, 관련 법규 교육 의무화와 파견 기준 사전 공지 의무가 명시되어 있다."
10,서비스 품질유지,"제10조 서비스 품질유지 **제목: 고객 서비스 및 불만 처리 지침**갑과 을은 판촉사원의 우수한 서비스 제공을 보장하고, 고객 불만이 발생할 경우 즉시 보상과 시정 조치를 취하며, 재발 방지를 위해 비용 분담을 협의하여 해결한다. (핵심 요약)"
11,판촉행사 참여 등,"제11조 판촉행사 참여 등 판촉행사 시 갑과 을은 명칭, 기간, 상품 품목, 예상 비용 및 이익 비율, 분담 비율 등을 명시한 서면 합의를 통해 진행하며, 을의 자발적 참여 시 상호 협의로 분담 비율을 조정할 수 있다. 갑은 을의 의사에 반한 참여 강요나 광고를 금지하고, 판촉비용 분담은 예상 이익 비율을 기준으로 협의하거나 합리적인 경우 수익 기준으로 정하되, 을의 분담 비율은 최대 50%를 초과하지 않도록 한다. 또한, 갑은 사전에 판촉행사 기준을 공개하여 을에게 고지해야 한다."
