article_number,article_title,summary
24,계약해지,"제24조 계약해지 계약 해지 조건은 다음과 같다: 갑 또는 을이 어음 지급 거부, 회생/파산 신청, 강제경매 등 중 하나에 해당하거나, 주요 재산의 강제경매, 브랜드 중단, 법령 위반 상품 납품, 또는 영업정지 처분을 받을 경우 해지 가능하며, 계약 위반 시 시정 기간을 두고 서면 통보 후 해지할 수 있다. 부득이한 사유로 해지할 경우에도 사전 통지 후 3개월 내에 이루어져야 하며, 해지 시 책임 있는 당사자는 상대방에게 손해 배상 책임을 진다."
25,상계,"제25조 상계 제25조에 따라 계약 해지 시, 이행기가 도래한 채무는 대등액으로 상계될 수 있습니다. (이 문장은 계약 해지 시 채무 처리 방식을 명확히 합니다.)"
26,계약의 유효기간 및 갱신,"제26조 계약의 유효기간 및 갱신 본 계약은 2025년 4월 12일부터 2027년 6월 30일까지 유효하며, 만료 전 60일 이내 서면 통지 없이는 자동 연장된다. 갑은 불공정 거래 지속 시 계약 갱신을 거절할 수 있으나, 거절 시 구체적 사유를 서면으로 통지하고, 을은 이의 신청 후 14일 이내 협의를 요구할 수 있다. 갑과 을 간 협의 실패 시 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다."
26-2,계약의 갱신 기준 등의 사전 통지,"제26조의2 계약의 갱신 기준 등의 사전 통지 갑은 계약갱신 거절 시 사전 공지 의무와 기준 변경 시 즉시 통지 의무가 있으며, 을의 서면 요청에 따라 계약 갱신 여부를 14일 이내에 구체적으로 서면으로 답변해야 한다. (갑의 의무와 을의 권리를 명확히 규정하며, 절차의 신속성과 명확성을 강조)"
27,분쟁해결 및 재판관할,"제27조 분쟁해결 및 재판관할 계약상의 분쟁 해결 절차는 갑과 을 간 합의를 우선하며, 합의가 이루어지지 않을 경우 일반적인 상관례와 법령에 따라 결정되고, 여전히 해결되지 않으면 한국공정거래조정원의 분쟁조정협의회에 조정을 신청할 수 있다. 조정 신청을 거부할 경우, 분쟁은 법원의 민사재판을 통해 해결되며, 당사자들은 관할 법원을 합의로 정할 수 있다. (이 모든 절차는 계약의 미해결 분쟁에 대한 체계적인 해결 방안을 제공한다.)"
28,계약의 효력,"제28조 계약의 효력 대전광역시 소재 신무 면세점(갑)과 레브 드 루미에르(을)는 계약 체결 전 충분한 협의를 거쳐 계약서 2부를 작성하고, 중재를 통한 분쟁 해결을 합의하였다. 계약서에는 납품장소와 기한이 명시되어 있으며, 상품 납품 조건과 수량, 단가가 포함되어 있어 서면 합의에 따른 변경만 가능하며, 모든 내용은 계약 체결 후 기명날인을 통해 확정된다."
1,목적,제1조 목적 이 계약서는 갑과 을 간의 상품 직매입거래에서 각자의 권리와 의무를 명확히 규정하여 거래의 기본 틀을 마련하는 것을 목적으로 한다.
2,기본원칙,"제2조 기본원칙 갑과 을은 상호 존중과 공정한 거래를 바탕으로 계약을 이행하며, 관련 법률을 준수하고 필요에 따라 계약서를 현실에 맞게 조정하여 동반성장을 추구한다. (법률 준수와 유연한 계약 조정을 통해 공정한 관계 구축)"
3,공정거래 준수 및 동반성장 지원,"제3조 공정거래 준수 및 동반성장 지원 **제목: 공정거래 및 동반성장 지원**갑과 을은 공정하고 투명한 거래를 위해 금품 제공 금지와 부당 행위 금지를 준수하며, 우월적 지위 남용을 배격한다. 특히 갑은 을의 재무건전성 강화, 기술 발전 지원, 근무환경 개선 등을 통해 동반성장을 도모하는 다양한 프로그램을 운영한다. (이 내용은 상호 협력과 지속 가능한 발전을 목표로 함)"
4,상품의 납품,"제4조 상품의 납품 계약에 따라 을은 갑에게 정해진 상품의 종류, 수량, 가격, 납품장소 및 기한을 준수하며, 관련 법령을 준수하여 납품해야 한다. 갑은 상품의 정상적인 수령을 보장하되, 불가피한 훼손이나 하자 등 특정 사유 외에는 납품 지연에 대한 책임을 지지 않으며, 을은 납품 과정에서 발생하는 문제에 대해 갑과 협력하여 해결 방안을 모색해야 한다. 갑은 부당한 가격 인하나 수량 조작 행위를 금지하며, 이러한 위반 시 을에게 직접적인 책임을 묻지 않는다."
5,검수기준 및 품질검사,"제5조 검수기준 및 품질검사 갑은 상품 검수 시 을에게 사전 기준을 서면으로 제공하고, 필요한 경우 샘플을 요구하거나 품질 및 성분 검사를 요청할 수 있으며, 검사 비용은 을이 부담하지만 법적 기준 미충족 시 갑이 비용을 부담하거나 납품 중지 및 시정 요구를 통해 계약 해지 시 을의 비용을 청구할 수 있다."
6,납품대금 지급 및 감액금지,"제6조 납품대금 지급 및 감액금지 ""갑""은 상품 입고 후 최대 30일 이내에 대금을 이체하되, 외부 요인으로 인한 지연 시 추가 15일 연장 가능하며, 이 기간 내에도 지급되지 않으면 법규를 무시할 수 있으나 ""을""의 추가 법적 대응은 금지된다. 지연 시 이자 부과와 감액 조건이 명시되어 있으며, 특히 화장품의 경우 검수 후 7일 이내에 감액 여부를 결정하고, 계약 상품과의 불일치나 하자 등 정당한 사유에 따라 대금 조정이 가능하다. 갑은 합의 하에 비용 공제 후 대금을 지급할 수 있으나, 공제 내역은 사전에 통지해야 한다."
6-2,공급원가 변동에 따른 납품 가격의 조정,"제6조의2 공급원가 변동에 따른 납품 가격의 조정 계약 이후 원가 변동으로 납품 가격 조정이 필요할 경우, 을은 관련 증빙 서류를 첨부하여 갑에게 신청할 수 있으며, 갑은 10일 이내에 협의를 시작해야 한다. 합의에 이르지 못할 경우, 분쟁은 대규모유통업거래 조정협의회에 조정을 신청할 수 있다. (갑과 을 간 협의 중단 의사 표시 시에도 해당됨)"
7,상품의 반품,"제7조 상품의 반품 갑은 상품을 정당한 사유 없이 반품할 수 없으나, 오손, 하자, 주문 불일치, 사전 동의, 특정 시즌 상품의 경우 등 합리적인 기간 내에 반품 요청 시 예외적으로 허용되며, 반품 비용은 상품 하자의 경우 을이 부담하고 기타 사유는 갑이 부담한다. 반품 절차는 서면 요청과 함께 사전 공지된 기준에 따라 이루어져야 하며, 부당한 반복 반품 시에는 양측이 협의를 통해 해결하거나 을이 거부할 수 있다. 반품 기한은 상품 수령 후 최대 60일 이내이며, 육안 확인이 어려운 하자는 검사 결과 제출 시 조정 가능하다."
8,판매장려금,"제8조 판매장려금 갑과 을 간의 판매장려금 제도는 시장 동향과 판매 실적을 바탕으로 매분기 초 협의를 통해 결정되며, 필요시 예기치 않은 상황에 따라 최대 10% 범위 내에서 조정 가능하다. 이 과정은 서면으로 기록되고 양측의 동의를 필요로 하며, 갑은 계약 기간 동안 판매장려금 관련 불리한 변경이나 추가적인 경제적 이익 제공을 금지한다. (요약)"
9,판촉사원 파견 등,"제9조 판촉사원 파견 등 갑은 을로부터 판촉사원을 파견받아 판매 업무를 지원하되, 파견 조건은 인건비 부담 면제, 갑의 직원 파견 강요 금지, 을의 자발적 요청 및 특수 능력 판촉사원 파견 시 적용되며, 파견된 판촉사원은 을의 상품 판매 및 관리에 한정되어 근무하고, 근무 기간과 비용 분담은 구체적 협의를 통해 결정된다. 또한, 관련 법규 교육 의무화와 파견 기준의 사전 공지 및 변경 통지 의무가 명시되어 있다."
10,서비스 품질유지,"제10조 서비스 품질유지 **제목: 고객 서비스 및 불만 처리 지침**갑과 을은 판촉사원의 우수한 서비스 제공을 보장하고, 고객 불만이 발생할 경우 즉시 보상과 시정 조치를 취하며, 재발 방지를 위해 비용 분담을 협의하여 해결한다. (핵심 요약)"
11,판촉행사 참여 등,"제11조 판촉행사 참여 등 판촉행사 시 갑과 을은 명칭, 기간, 상품 품목, 예상 비용 및 이익 비율, 비용 분담 비율 등을 명시한 서면 합의를 통해 진행하며, 을의 자발적 참여 시 상호 협의로 분담 비율을 조정할 수 있다. 또한, 갑은 판촉행사의 기준을 사전에 공개하고 변경 시에도 고지해야 하며, 을의 판촉비용 분담 비율은 최대 50%를 초과하지 않도록 규정되어 있다. (갑과 을의 협력과 투명한 비용 분담 체계를 강조하며)"
12,매장 위치 및 면적 등,"제12조 매장 위치 및 면적 등 갑과 을 간의 계약 조건에 따라, 을의 점포 운영에 필요한 기본 정보와 설비 변경 시 비용 분담 및 통보 의무가 명확히 규정되어 있으며, 갑의 부당한 퇴점 방해나 설비 변경으로 인한 손해 발생 시 을에게 보상 책임이 부과된다. (단, 계약 기간 내 갑의 부당 행위 발생 시 보상 금액은 손해 규모에 따라 결정된다.)"
12-2,매장이동 기준 등의 사전 통지,"제12조의2 매장이동 기준 등의 사전 통지 갑은 매장 위치, 면적, 시설 변경사항을 사전에 홈페이지나 서면으로 을에게 공지하고 변경 시 즉시 통지해야 하며, 을은 필요시 변경 여부 확인을 서면으로 요청할 수 있다. 이후 갑은 요청 후 30일 이내에 구체적인 변경 사유와 대상 여부를 서면으로 통지해야 한다."
13,기타 비용의 사전 통지,"제13조 기타 비용의 사전 통지 갑은 계약서에 명시되지 않은 추가 비용을 부과할 때, 사전에 홈페이지 등 접근 가능한 매체를 통해 공지하거나 서면으로 통지해야 하며, 비용 기준 변경 시에도 동일한 절차를 따른다. 단, 을에게 유리한 변경은 의무적으로 협의해야 하지만, 사전 통지나 협의 과정을 무시할 경우 갑은 부과된 비용의 150% 초과 금액을 강제 청구할 수 있다."
14,경영정보 제공 요구 금지,"제14조 경영정보 제공 요구 금지 갑은 을에게 상품 공급 조건, 입점 조건, 원가 정보, 매출 데이터, 판매 프로모션 정보, 전자 거래 정보 등 민감한 경영정보를 부당하게 요구할 수 없으며, 요구 시 목적과 비밀유지 방안, 제공 일정 등을 명시한 서면을 제공해야 한다. (요구 범위는 최소한으로 제한되어야 함)"
15,보복조치의 금지,"제15조 보복조치의 금지 갑은 계약 조건 변경이나 불이익 제공을 통해 을에게 불리한 상황을 초래해서는 안 되며, 특히 「대규모유통업 거래 공정화법」 관련 분쟁 조정 신청, 신고, 서면 실태 조사 협조, 그리고 공정거래위원회의 조사 협조 등에 있어 을에게 불리한 조치를 취해서는 안 된다."
16,각종 불이익 제공 금지 등,"제16조 각종 불이익 제공 금지 등 갑은 을과의 거래에서 부당한 이익 취득, 거래 제한 강요, 영업비밀 부당 이용, 상품 멸실 책임 전가, 경영 간섭 등의 행위를 삼가야 한다."
17,손해배상,"제17조 손해배상 계약 위반 시 책임 당사자는 상대방의 손해를 배상하되, 특히 갑이 「대규모유통업 거래 공정화 법률」 위반으로 손해를 준 경우에는 그 손해의 최대 3배까지 배상할 수 있으나, 고의나 과실이 없는 경우에는 배상 범위가 제한된다."
18,지식재산권 등,"제18조 지식재산권 등 을이 갑에게 납품하는 상품은 제3자의 지식재산권을 침해해서는 안 되며, 침해 분쟁 발생 시 을은 책임을 지고 그로 인한 손해를 배상한다. (다)"
19,상표관련특약,"제19조 상표관련특약 을은 원칙적으로 직접 생산 또는 수입한 상품만을 갑에게 납품하되, 갑의 사전 동의와 품질 보장 하에 제3자 생산품도 납품 가능하다. 그러나 직접 생산하지 않은 상품에 대한 라벨 교체는 금지되며, 계약 위반 시 갑은 시정 요구 후 기간 내 시정이 없으면 계약 해지와 함께 손해 배상 책임을 지게 된다."
20,제조물책임,"제20조 제조물책임 을이 제공하는 상품의 결함으로 인해 갑의 고객이나 제3자가 손해를 입으면, 을은 「제조물책임법」에 따라 그 손해를 배상한다. (*)"
21,권리ㆍ의무의 양도금지,"제21조 권리ㆍ의무의 양도금지 을은 계약상의 권리와 의무를 갑의 사전 동의 없이 제3자에게 양도하거나 이전할 수 없으나, 금전채권의 경우 갑에게 사전 통지 후 양도 또는 담보제공이 가능하다. (이 문장은 계약의 핵심 권리 제한과 예외 사항을 간결하게 요약하였습니다.)"
22,통지의무,"제22조 통지의무 갑과 을은 사업자 정보 변경, 자본 구조 변경, 사업자 형태 변경 등 중대한 계약 이행 관련 사유 발생 시 즉시 서면 통지를 해야 하며, 통지는 계약상의 주소로 이루어져야 상대방에게 도달해야 효력이 발생한다. (이하 계약상의 주소로 서면 통지 원칙 적용)"
23,비밀유지,"제23조 비밀유지 갑과 을은 상호 거래 과정에서 알게 된 영업비밀을 제3자에게 누설하지 않지만, 법적 의무나 법원 판결에 따라 예외적으로 누설할 수 있다. 제1항의 비밀유지 의무는 거래 종료 후 **5년** 동안 지속된다."
24,계약해지,"제24조 계약해지 계약 해지 조건은 다음과 같다: 갑 또는 을이 어음 지급 거부, 회생/파산 신청, 강제경매 등 중 하나에 해당하거나, 주요 재산의 강제경매, 브랜드 중단, 법령 위반 상품 납품, 또는 영업정지 처분을 받을 경우 해지 가능하며, 계약 위반 시 시정 기간을 두고 서면 통보 후 해지할 수 있다. 부득이한 사유로 해지할 경우에도 사전 통지 후 3개월 내에 이루어져야 하며, 해지 시 책임 있는 당사자는 상대방에게 손해 배상 책임을 진다."
25,상계,"제25조 상계 제25조에 따라 계약 해지 시, 이행기가 도래한 채무는 대등액으로 상계될 수 있습니다. (이 문장은 계약 해지 시 채무 처리 방식을 명확히 합니다.)"
26,계약의 유효기간 및 갱신,"제26조 계약의 유효기간 및 갱신 본 계약은 2018년 5월 1일부터 2020년 4월 31일까지 유효하며, 만료 전 60일 이내 서면 통지 없이 갱신되지 않으면 갑의 요청에 따라 자동 연장된다. 갑은 불공정 거래를 이유로 계약 갱신을 거절할 수 있으나, 거절 시 구체적인 사유를 서면으로 통지해야 하며, 을은 이의 신청 후 갑과 협의를 시작해야 한다. 갑과 을 간 협의 실패나 갑의 거부 시 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다."
26-2,계약의 갱신 기준 등의 사전 통지,"제26조의2 계약의 갱신 기준 등의 사전 통지 갑은 계약갱신 거절 시 사전 공지 의무와 기준 변경 시 즉시 통지 의무가 있으며, 을의 서면 요청에 따라 계약 갱신 여부를 14일 이내에 구체적으로 서면으로 답변해야 한다. (갑의 의무와 을의 권리를 명확히 규정하며, 절차의 신속성과 명확성을 강조)"
27,분쟁해결 및 재판관할,"제27조 분쟁해결 및 재판관할 계약상의 분쟁 해결 절차는 갑과 을 간 합의를 우선하며, 합의가 이루어지지 않을 경우 일반적인 상관례와 법령에 따라 결정되고, 여전히 해결되지 않으면 한국공정거래조정원의 분쟁조정협의회에 조정을 신청할 수 있다. 조정 신청을 거부할 경우, 분쟁은 법원의 민사재판을 통해 해결되며, 당사자들은 관할 법원을 합의로 정할 수 있다. (이 모든 절차는 계약의 미해결 분쟁에 대한 체계적인 해결 방안을 제공한다.)"
28,계약의 효력,"제28조 계약의 효력 갑과 을은 계약 체결 전 충분한 협의를 거쳐 계약서 두 부를 작성하고, 중재를 통한 분쟁 해결을 합의하였으며, 이 계약 내용은 서면으로만 변경 가능하다는 점을 명확히 하였다. 계약 조건은 울산광역시와 서울특별시에 위치한 두 기업 간의 상품 납품에 관한 세부 사항을 포함하고 있다. (2018년 2월 14일)"
1,목적,제1조 목적 이 계약서는 갑과 을 간의 프리미엄 화장품 직매입거래에서 상품 매입 및 면세점 판매 책임을 명확히 하여 양 당사자의 권리와 의무를 정의하는 것을 목적으로 한다.
2,기본원칙,"제2조 기본원칙 갑과 을은 상호 존중과 성실한 계약 이행으로 공정한 거래와 동반성장을 추구하며, 관련 법령을 준수하고 필요에 따라 계약서를 현실에 맞게 조정할 수 있다. (대규모유통업법, 화장품법, 소비자기본법 등)"
3,공정거래 준수 및 동반성장 지원,"제3조 공정거래 준수 및 동반성장 지원 갑과 을은 공정한 거래를 위해 금품 제공 금지와 우월적 지위 남용 금지를 준수하며, 갑은 을의 재무건전성 지원, 기술 개발 촉진, 근무 환경 개선 등을 통해 동반성장을 도모하고, 국내외 브랜드 경쟁력 강화를 위한 홍보 및 마케팅 지원을 상호 협의 하에 추진한다."
4,상품의 납품,"제4조 상품의 납품 ""갑""과 ""을"" 간의 계약에 따라 ""을""은 납품해야 할 상품의 종류, 수량, 가격, 납품장소 및 기한을 명확히 명시하거나 관련 문서로 대체하며, 불가피한 경우 사전 승인을 받아 납품 기한을 조정해야 한다. ""을""은 관련 법령 준수와 함께 상품을 납품하고, ""갑""의 검수 기준에 따라 상품을 수령하며, ""갑""의 정당한 사유 없이는 지연 없이 수령한다. ""갑""은 계약 위반이나 정당한 사유 없이 ""을""에게 부당한 요구를 하지 않으며, ""을""은 계약 위반 시 ""갑""과 협력하여 문제 해결을 도모한다."
5,검수기준 및 품질검사,"제5조 검수기준 및 품질검사 **화장품 공급 계약 조건 요약**""갑""은 화장품 품질 유지를 위해 사전에 ""을""에게 명확한 검수기준을 서면으로 제공받고, 필요시 샘플 검사를 요청하거나 추가 품질 검사를 요구할 수 있으며, 검사 비용은 원칙적으로 ""을""이 부담하지만 초과 시 ""갑""이 부담한다. 만약 검사 결과 법적 기준을 충족하지 못하면 ""갑""은 납품 중지 및 시정 요구를 할 수 있고, 이행되지 않으면 계약 해지 권한을 가진다."
6,납품대금 지급 및 감액금지,"제6조 납품대금 지급 및 감액금지 ""갑""은 납품대금을 상품 입고 후 60일 이내에 현금으로 지급하되, ""을""의 서류 미비 등으로 인한 지연은 예외로 하며, 지연 시 공정거래위원회 고시 이자율을 적용한다. 대금 감액이나 대체 결제 강요는 금지되나, 계약상의 합의 하에 특정 조건 하에 감액이 가능하다. 또한, ""갑""은 합의된 계약서에 따라 ""을""이 부담해야 할 비용을 공제할 수 있으나, 공제 내역은 사전 서면으로 통지해야 한다."
7,상품의 반품,"제7조 상품의 반품 ""갑""은 화장품 반품 시 정당한 사유 없이는 불가능하지만, 상품 손상, 주문 오류, 사전 동의, 합의된 시즌 상품, 직접적 이익 판단에 따른 요청, 위조품 또는 법적 문제 상품 등 특정 조건 하에서는 반품이 가능하다. 반면, 매장 사용 가치 훼손 상품, 타 유통 경로 판매 어려움 상품, 내부 재고 상품은 반품 불가하며, 신선 화장품은 납품 후 2일 이내에만 반품이 허용된다. 반품 기간은 기본 14일이며, 품질 문제 시 협의로 연장 가능하다. 반품 기준과 절차는 사전 공지 후 변경 시에도 동일하게 안내된다. (이하)"
8,판매장려금,"제8조 판매장려금 ""갑""은 화장품 판매 촉진을 위해 ""을""로부터 판매장려금을 받는데, 이는 판매 실적과 시장 상황 등을 기준으로 결정되며, 변경 시에는 서면 협의를 통해 이루어지며 일방적인 조건 변경은 금지되어 있다. (판매장려금 지급은 성과에 따라 연 2회 조정되며, 추가 경제적 부담은 없다.)"
9,판촉사원 파견 등,"제9조 판촉사원 파견 등 ""갑""은 ""을""의 요청에 따라 판촉사원을 파견할 수 있으며, 조건은 ""갑""의 비용 부담, 서면 요청, 특정 기술 지원 필요성 등이며, 파견은 최대 10명 이내로 제한되고, 업무 지시와 법령 준수 교육은 ""을""과 공동으로 담당한다. 비용 분담과 기준 변경은 사전 협의를 통해 이루어지며, 모든 절차는 명확한 계약서에 명시된다."
10,서비스 품질유지,"제10조 서비스 품질유지 ""갑과 을은 판촉사원의 우수한 서비스 제공과 고객 불만 발생 시 신속한 보상 및 재발 방지 조치를 취하며, 불만 해결 비용은 원인과 과실 여부에 따라 협의하여 분담한다."""
11,판촉행사 참여 등,"제11조 판촉행사 참여 등 판촉행사 비용 분담 시 ""갑""과 ""을""은 서면 합의를 통해 행사 명칭, 대상 상품, 비용 규모 및 이익 분배 비율을 명시하고, ""을""의 참여 강요나 강제 광고 실행은 금지하며, 분담 비율은 이익 기반으로 설정되나 이익 산정이 어려울 경우 동일 비율 적용, ""을""의 분담 비율은 최대 50%를 넘지 않고 초과 시 ""갑""이 부담하며, 자발적 차별화 행사는 협의를 통해 조정 가능하다. 또한, 행사 기준과 변경 사항은 사전 공지를 통해 공유된다."
12,매장 위치 및 면적 등,"제12조 매장 위치 및 면적 등 ""갑""과 ""을"" 간의 거래에서 ""을""의 점포 정보와 설비 변경은 별지 2에 명시된 기준에 따라 이루어지며, ""갑""은 점포 퇴점 방해나 일방적인 변경을 금지하고, 설비 변경 시 비용 부담과 절차는 사전 협의를 통해 결정되며, 계약 종료 시 ""을""의 설비 비용 잔여분을 보상해야 한다."
12-2,매장 이동 기준 등의 사전 통지,"제12조의2 매장 이동 기준 등의 사전 통지 ""갑""은 매장 위치 및 시설 변경 사항을 사전에 ""을""에게 공지하고 변경 시 즉시 알려야 하며, ""을""은 변경 요청 시 서면으로 요구할 수 있고, ""갑""은 요청 후 30일 이내에 구체적인 변경 내용과 이유를 서면으로 통지해야 합니다. (요약)"
13,기타 비용의 사전 통지,"제13조 기타 비용의 사전 통지 ""갑""은 계약서 외 추가 비용 발생 시 사전에 ""을""에게 상세 내역과 분담 비율을 공지하거나 서면으로 통지해야 하며, 비용 변경 시에는 반드시 협의 후 통지해야 한다. 사전 통지 없이 비용을 부과하거나 변경하는 경우, ""을""에 대한 추가 비용 요구는 불가능하다. (갑과 을 간의 비용 관리는 투명성과 사전 협의를 필수로 한다.)"
14,경영정보 제공 요구 금지,"제14조 경영정보 제공 요구 금지 ""갑""은 ""을""의 민감한 정보 요구 시 사전 서면 통지를 통해 목적, 비밀유지 방안, 제공 일정 등을 명확히 제시해야 하며, 요구 정보는 최소한으로 제한되어야 한다."
15,보복조치의 금지,"제15조 보복조치의 금지 ""갑""은 「대규모유통업 거래 공정화법」 및 「독점규제 및 공정거래법」에 따라 분쟁조정 신청, 신고, 서면실태조사 협조, 공정거래위원회의 조사 협조 등 특정 행위를 이유로 계약 조건 변경이나 납품 기회 제한 등 불리한 조치를 취해서는 안 된다."
16,각종 불이익 제공 금지 등,"제16조 각종 불이익 제공 금지 등 **제목:** 갑의 부당 행위 금지 사항 요약 ""갑""은 ""을""과의 거래에서 화장품 부당 취득, 특정 거래 강요, 영업비밀 부당 이용, 재고 손실 전가, 마케팅 개입 등을 금지해야 하며, 공정한 거래 관행을 지켜야 한다. (다)"
17,손해배상,"제17조 손해배상 계약 위반 시 손해 배상 규정: 계약 당사자 중 한 쪽이 위반으로 상대방에게 손해를 끼쳤을 경우, 일반적으로 손해 배상 책임이 있으며, 특히 대규모유통업 관련 법률 위반 시에는 최대 손해의 3배까지 배상해야 한다 (단, 고의나 과실이 없는 경우 예외)."
18,지식재산권 등,"제18조 지식재산권 등 ""을""이 ""갑""에게 납품하는 화장품은 지식재산권 침해 없이 공급되어야 하며, 침해로 인한 법적 분쟁 발생 시 ""을""은 모든 책임을 지고 ""갑""의 손해를 배상해야 합니다. (이하)"
19,상표관련특약,"제19조 상표관련특약 ""을""은 원칙적으로 ""갑""에게 직접 제조하거나 공식 수입한 화장품을 납품해야 하며, 사전 동의 하에 제3자 제품도 납품 가능하다. 그러나 직접 제조하지 않은 상품의 라벨을 변경하여 납품하거나 계약 위반 시, ""갑""은 시정 요구 후에도 개선되지 않으면 계약 해지와 함께 손해 배상 책임을 지게 된다."
20,제조물책임,"제20조 제조물책임 ""을""은 화장품 판매 시 「제조물책임법」에 따라 결함으로 인한 고객 또는 제3자의 손해를 배상해야 하며, 제품의 품질과 안전성을 위해 유효기간 관리와 법령 준수를 철저히 해야 합니다. (이 모든 조치는 고객 보호와 법적 책임 이행을 목표로 합니다.)"
21,권리ㆍ의무의 양도금지,"제21조 권리ㆍ의무의 양도금지 ""을""은 계약상의 권리와 의무를 ""갑""의 서면 동의 없이 제3자에게 양도하거나 이전할 수 없으나, 금전채권의 경우 사전 통지 후 양도 또는 담보 제공이 가능하다. (이 문장은 계약의 핵심 권리 제한과 예외 사항을 간결하게 요약하였습니다.)"
22,통지의무,"제22조 통지의무 ""갑""과 ""을""은 사업자 정보 변경, 자본 구조 변경, 사업자 형태 변경 등 중대한 계약상의 영향을 미칠 사유 발생 시 지체 없이 서면 통지를 해야 하며, 통지 내용은 계약 명시 주소로 서면으로 전달되어야 상대방에게 도달해야 효력이 발생한다. (이하 계약상의 중요 변경 사항에 대한 신속한 서면 통지 규정 명시)"
23,비밀유지,"제23조 비밀유지 ""갑""과 ""을""은 상호 거래 중 알게 된 영업비밀을 제3자에게 누설하지 않지만, 법령에 따른 정부기관의 요청이나 법원의 판결에 따라 예외가 적용되며, 이 의무는 거래 종료 후 3년간 지속된다."
24,계약해지,"제24조 계약해지 계약 해지 조건은 금융 문제, 생산 중단, 법령 위반 등 특정 상황에서 발생하며, 계약 당사자 중 한 쪽이 중요 사항을 위반하면 30일 내 시정 요구 후 미준수시 해지 가능하다. 또한, 해지 사유가 계약 조항에 명시되지 않은 경우에는 해지 통지를 3개월 전에 서면으로 해야 하며, 해지로 인한 손해는 책임 있는 당사자가 배상해야 한다."
25,상계,"제25조 상계 계약 해지 시, 해지 시점까지 발생한 채무는 대등액으로 상계될 수 있다."
26,계약의 유효기간 및 갱신,"제26조 계약의 유효기간 및 갱신 이 계약은 2025년 1월 1일부터 2027년 12월 31일까지 유효하며, 만료 전 서면 통지 없이 갱신되거나 거절될 수 있다. ""갑""은 납품업자 간 불공정 거래가 지속될 경우 갱신을 거절할 수 있고, 거절 시 구체적 사유를 통지해야 하며, ""을""은 이의 신청을 통해 분쟁을 해결할 수 있다. 협의 실패나 중단 시 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다."
26-2,계약의 갱신 기준 등의 사전 통지,"제26조의2 계약의 갱신 기준 등의 사전 통지 계약 갱신 거절 시 ""갑""은 사전 공지 또는 서면 통지를 통해 기준 변경 사항을 명확히 전달해야 하며, ""을""의 갱신 대상 여부 확인 요청에 대해 14일 이내에 서면으로 답변해야 한다."
27,분쟁해결 및 재판관할,"제27조 분쟁해결 및 재판관할 계약 외 사항이나 의견 차이는 양측 합의로 해결되며, 합의 실패 시 일반 법령과 「대규모유통업 거래 공정화 법률」에 따른 조정을 거쳐, 조정 미이행 시 민사재판으로 분쟁을 해결하고 관할법원은 당사자 합의에 따라 정한다. 중재를 통한 최종 해결을 원할 경우, 중재기관과 중재규칙을 명시하여 조정 없이 진행 가능하다. (이하 내용은 계약의 분쟁 해결 절차를 간결하게 요약한 것입니다.)"
28,계약의 효력,"제28조 계약의 효력 이 계약은 ""갑""과 ""을"" 간의 충분한 협의와 서면화된 계약서를 통해 체결되며, 구두 합의는 본 계약서에 포함되지 않은 경우 구속력이 없고, 변경이나 수정은 양 당사자의 서명으로만 효력을 갖는다는 점을 명시하고 있다. (2025년 1월 1일, 서울특별시 강남구 테헤란로와 서초구 강남대로에 위치한 회사들 간의 합의 내용)"
>>>>>>> df6351d258cdfc752d08e376fbe6a629fe6ef8fe
